1," Mike HOLT
 Rob WOELFEL",9202,USA, ,1,2,1,1,1,(3),(3),2,14,8, 
2," Robin DEUSSEN
 David SNOAD",9194,AUS,SA,(6),1,2,2,(4),1,2,4,22,12, 
3," Christopher PATERSON
 Thor SCHOENHOFF",9059,AUS,WA,4,(5),4,4,2,(16),1,5,41,20, 
4," Sandy HIGGINS
 Paul MARSH",8946,AUS,SA,2,(6),5,(6),3,4,4,3,33,21, 
5," Michael BABBAGE
 James MCALLISTER",8794,AUS,NSW,3,3,3,3,(9),8,(9),8,46,28, 
6," Malcolm HIGGINS
 Angus HIGGINS",9191,AUS,SA,(7),7,(8),5,6,7,6,1,47,32, 
7," Peter WOOLMAN
 Phil SCAPENS",8957,AUS,SA,8,4,6,(22),(17),13,5,7,82,43, 
8," Michael DUFFIELD
 Anthony GAUNT",8817,AUS,WA,5,(18),10,12,5,5,10,(20),85,47, 
9," Alexandra SOUTH
 Marcus COOPER",9209,AUS,SA,10,9,(12),11,12,2,(14),6,76,50, 
10," Jeffrey ROBINSON
 Adam WYATT",8920,AUS, ,"(35)
RET",12,7,8,13,6,(17),13,111,59, 
11," Nicholas MARIANI
 Alexander THOMSON",8855,AUS,WA,"(35)
DNC",11,(15),9,7,9,13,11,110,60, 
12," Ian TAYLOR
 Tom STUCHBERY",6819,AUS,Vic.,13,(19),11,10,10,(21),8,10,102,62, 
13," Daniel ROOS
 Daryl ROOS",8760,AUS,ACT,(17),16,9,7,11,11,16,(21),108,70, 
14," Mark STOWELL
 Jake BESSEN",9192,AUS,WA,9,(17),14,14,14,(17),15,9,109,75, 
15," Chris GREGG
 Ian GREGG",8781,AUS,QLD,19,8,16,(24),15,10,(23),12,127,80, 
16," Alexander HIGGINS
 David OTTAWAY",9223,AUS,SA,16,22,19,"(35)
DNC",8,12,7,(25),144,84, 
17," Matt HANSEN
 Chris WHITE",8811,AUS,WA,11,10,22,15,16,(25),11,(24),134,85, 
18," Ian BURFORD
 David CHRISTIE",9022,AUS,SA,14,13,20,17,(22),14,(22),15,137,93, 
19," Martin PIKE
 Dave CLAYTON",8890,AUS,SA,"(35)
DNC",15,13,13,24,18,27,(30),175,110, 
20," Brian PIKE
 Riley PIKE",8173,AUS,NSW,15,20,(24),23,(25),20,21,16,164,115, 
21," James RYSSENBEEK
 Andrew MCCOLE",8785,AUS,VIV,12,28,21,20,21,15,"(35)
DSQ","(35)
DNC",187,117, 
22," Richard HYDE
 Lindsay GILBERT",9071,AUS,QLD,"(35)
RET",14,25,"22
SCP",(26),23,18,17,180,119, 
23," Andrew CAWLEY
 Patrick ATTWELL",8968,AUS,WA,"(35)
DNC",21,(29),19,18,19,24,18,183,119, 
24," Robert FLEMING
 Shane ATTWELL",9048,AUS,WA,"(35)
DNC",26,27,"(35)
DNC",19,22,12,19,195,125, 
25," Sam CRONIN
 Kevin WHITBREAD",9205,AUS,NSW,18,(30),23,16,23,"(35)
DNC",25,22,192,127, 
26," Steve HOWDEN
 Sean MANAGH",9115,AUS,VIC,"(35)
RET",25,17,25,20,"(35)
DNC",28,14,199,129, 
27," Brooke JONES
 Brian JONES",8589,AUS,SA,20,(29),(28),21,27,24,19,27,195,138, 
28," Brett BOWDEN
 Tim JEANS",9018,AUS,VIC,22,24,26,26,"(35)
DNF","(35)
DNF",20,26,214,144, 
29," Scott LIDGETT
 Mike OXLEY",8626,AUS,ViIC,21,27,(30),27,(28),26,26,28,213,155, 
30," Earle ALEXANDER
 John MACARTHUR KING",9074,AUS,QLD,"(35)
DNC",23,18,"(35)
DNC","35
DNF","35
DNC","35
DSQ",23,239,169, 
31," Martin SMITH
 Sam BYASS",8512,AUS,SA,"(35)
RET","(35)
DNF",31,28,29,27,30,29,244,174, 
32," Michael LAWRENCE
 Graeme MURPHY",8922,AUS,VIC,"(35)
DNC",31,"(35)
DNC","35
DNC","35
DNF","35
DNC",29,31,266,196, 
33," Nigel LOTT
 Bob FRANKS",9167,AUS,QLD,"(35)
DNC","(35)
DNC","35
DNC","35
DNC","35
DNC","35
DNC","35
DNC","35
DNC",280,210, 
33," Michael QUIRK
 Joel CASTLE",9210,AUS,NSW,"(35)
RET","(35)
DNC","35
DNC","35
DNC","35
DNC","35
DNC","35
DNC","35
DNC",280,210,
