Nat,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,Nett,Rank
SWE,8926,Ebbe Rosén,Olle Wenrup,Mälarhöjdens Kanotsällskap,1,1,1,1,(2),1,5,1
SWE,8945,Ingrid Söderström,Johan Calvert,Göteborgs Kungliga SS,(5),5,2,2,1,2,12,2
SWE,8923,Lars Hultgren,Axel Hultgren,Råå Jolleklubb,3,3,3,9,4,(10),22,3
SWE,7017,Galen Mack,Wille Johanisson,Kungliga Svenska SS,2,4,6,7,5,(8),24,4
DEN,8828,Fabiola Wonterghem,Michael Wonterghem,Danmark,(8),6,5,3,6,4,24,5
SWE,8651,Peter Andersson,Per-Eric Thörnström,SS Viken-Ägir,6,(10),4,4,8,3,25,6
SWE,8912,Tom Hastenpflug,Toni Hastenpflug,SS Åmålsviken,4,7,8,5,(10),6,30,7
SWE,8848,Lars Bjerke,Tore Reinhold,Björlanda Kile SS,(14),2,7,11,3,9,32,8
SWE,8666,Magnus Nilsson,Anders Dahlén,Rådasjöns SS,12,8,(23 DNF),6,11,11,48,9
SWE,8655,Kalle Nilsson,Anders Avén,SS Kaparen,13,9,(21),20,7,5,54,10
SWE,8787,Johan Johansson,Anders Ekberg,Björlanda Kile SS,(19),17,9,12,9,7,54,11
SWE,7343,Tomas Franzén,Gustav Franzén,Råå Jolleklubb,11,12,(13),8,13,13,57,12
SWE,9092,Knut Hastenpflug,Jana Hastenpflug,SS Åmålsviken,7,(18),14,14,12,17,64,13
SWE,8917,Jesper Fowelin,Ton Törm,ÖLSS,(17),11,11,16,15,12,65,14
GBR,8419,Axel Danielsson,Leif Danielsson,Halmstads SS,9,15,(20),18,14,15,71,15
SWE,8581,Per-Anders Hallberg,Frank Bach,Ljungskile SS,10,13,15,10,(23 DNF),23 DNS,71,16
SWE,8837,Tord Lawner,Tomas Gustafsson,Björlanda Kile SS,16,(20),10,15,18,14,73,17
SWE,8054,Lasse Norberg,Andreas Carlsson,Vänersborgs SS,(18),14,16,17,17,16,80,18
SWE,8257,Fredrik Molander,Tomas Jaxing,Långedrags SS,15,16,18,(19),16,18,83,19
SWE,8412,David Lawenius,Albert Lawenius,Björlanda Kile SS,20,19,13,13,(23 DNS),23 DNS,88,20
SWE,9107,Sven Flood,Pia Åhlund,Björlanda Kile SS,(23 DNF),22,19,21,19,19,100,21
SWE,8071,Per Kjellberg,Rita Cording,SS Delfinen Vejbystrand,21,21,17,22,(23 DNS),23 DNS,104,22
