Nation,Sail,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Net Points,os
GBR,8481,Jeremy Robinson,Bill Masterman,,2,2,2,78,1,1,7.5,1
GBR,8510,Ian Barker,Dan Cripps,,1,1,6,78,7,2,16.5,2
GBR,8464,Geoff Carveth,Ian Mitchell,,6,7,25,1,8,3,24.75,3
GBR,8624,Ian Pinnell,Mark Darling,,4,3,14,3,15,4,28,4
GBR,8377,Hector Cisneros,Lawrence Crispin,,27,4,20,2,2,8,36,5
GBR,8600,Robert Larke,Neil Fulcher,,18,5,12,7,9,15,48,6
GBR,8244,Tim Rush,Steve Hunt,,8,21,8,10,18,6,50,7
FRA,8402,Philippe Boite,Pierre Jean Gallo,,5,16,5,9,17,17,52,8
GBR,8583,Chris Maxfield,Jeremy Entwistle,,7,24,32,8,4,11,54,9
USA,8497,Mike Holt,Ian Godfrey,,28,8,4,4,22,18,56,10
GBR,8556,Richard Tew,Simon Hiscocks,,9,17,9,15,6,22,56,11
GBR,8592,Paul Lovesy,Andy Williams,,23,12,17,13,11,7,60,12
GBR,8306,Clive Robinson,Gary Cawthorn,,16,18,7,17,3,24,61,13
USA,7200,Alexander Meller,Allan Johnson,,11,20,11,16,20,9,67,14
GBR,8378,Martin Hodgson,Paul Beasley,,17,19,1,24,21,13,70.75,15
GBR,8467,Colin Goodman,Jim Turner,,12,10,23,5,26,23,73,16
GBR,8416,Ian Montague,Geoff Kimber,,13,6,28,14,29,12,73,17
GER,8500,Jory Hager,Burk1 Vicuth,,21,15,16,12,16,19,78,18
GBR,8635,John Webster,Simon Lake,,15,14,18,21,25,16,84,19
GBR,8511,Robin Boardman,Gareth Kelly,,14,9,36,78,14,14,87,20
