Nation,Boat no,Helm,Crew,,,,,Position
GBR,8624,Ian Pinnell,Mark Darling,,,,,1st
GBR,,Chris Howarth,Stuart Aston,,,,,2nd
GBR,8377,Hector Cisneros,Lawerence Crispin,,,,,3rd
GBR,8511,Robin Boardman,Ian Godfrey,,,,,4th
GBR,8556,Richard Tew,Simon Hiscocks,,,,,5th
