Nation,Boat No,HELM,CREW,CLUB BOAT,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Total,Place
GBR,8624,Ian Pinnell,Mark Darling,GWSC,63*,63*,63*,1,2,2,1,1,195.25,6.25,1
GBR,8494,Terry Scutcher,Simon J Lake,GWSC,1,1,1,3*,61*,3,4*,3,76.25,8.25,2
GBR,8495,Dave Peacock,Mark Longstaff,GWSC,4*,6*,3,2,1,4,5*,2,26.75,11.75,3
GBR,8460,Martin Goult,Gordon Russell,BSC,2,2,63*,63*,63*,5,3,7,208,19,4
GBR,8095,Charlie Walters,Mike Pike,DSC,5,4,63*,4,3,6*,6*,5,96,21,5
GBR,7763,Diana Statham,Nigel Statham,AWSC,9,9,5,61*,6,12*,12,14*,128,41,6
GBR,8508,Sam Neal,Peter Burwood,GWSC,3,3,2,5,61,63*,63*,63*,263,74,7
GBR,8123,Dave Spragg,Jason Merrow,CUCC,63*,63*,63*,61,5,7,7,6,275,86,8
GBR,8420,Julian Clarke,Neil Burrows,GWSC,63*,63*,63*,63,4,9,9,12,286,97,9
GBR,7575,T.A.Mehew,J.S.Mehew,RNSYC,10,61*,61*,61,63*,11,11,11,289,104,10
GBR,8556,Richard Tew,Simon Hiscocks,GWSC,63*,63*,63*,63,63,1,2,4,321.75,132.75,11
GBR,8245,Simon Law,Robert Ahlheid,QMSC,7,8,4,61,63*,63*,63*,63,332,143,12
GBR,8497,Roger Driver,Steve Burwood,GWSC,61,63*,63*,63*,63,8,8,9,338,149,13
GBR,8309,Suz McDermott,Dave Hughes,WKSC,8,61*,63*,61,63*,61,14,8,339,152,14
GBR,8591,Anne Cave-Penny,Richard Cave-Penny,OSC,63*,63*,63*,63,63,10,10,10,345,156,15
GBR,8592,Paul Lovsey,Andy Williams,DSC,6,5,61,61,63*,63*,63*,63,385,196,16
GBR,7788,A.N.Other,A.N.Other,??SC,63*,63*,7,63*,63,63,63,13,398,209,17
GBR,7665,Jim Coates,A.N.Other,GWSC,63*,63*,63*,63,63,13,13,63,404,215,18
GBR,8034,Paul Edwards,Bridget Edwards,GWSC,11,63*,63*,63*,63,63,63,63,452,263,19
GBR,7654,Carl Andrews,Sean Austin,GWSC,12,63*,63*,63*,63,63,63,63,453,264,20
GBR,8625,Mel Newman,Alex Cull,OSC,63*,63*,63*,63,63,63,63,63,504,315,21
GBR,8568,C. Deibitsch,Howard Roddis,GWSC,63*,63*,63*,63,63,63,63,63,504,315,22
