Nation,Sail No.,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Points,Position
GBR,8510,Ian Barker,Bill Masterman,,,,,,3.5,1st
GBR,8624,Ian Pinnell,Mark Darling,,,,,,4.5,2nd
GBR,8378,Martin Hodson,Paul Beasley,,,,,,8,3rd
GBR,8377,Hector Cisneros,Lawrence Crispin,,,,,,13,4th
GBR,8556,Richard Tew,Simon Hiscocks,,,,,,15,5th
GBR,8416,Ian Montague,Jeff Kimber,,,,,,16,6th
