Sail Number,Team,,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,T,N,Nr
GER 9152,Wolfgang Dr Hunger,Holger Jess,PYC,2,1,2,1,1,1,1,1,(3),(22) DNC,35,10,1
DEN 9181,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup Sejlklub,1,(3),1,2,2,2.5,(5),3,1,1,21.5,13.5,2
DEN 9118,Jan Saugmann,Jakob Karbo,Hellerup Sejlklub,(13),5,3,4,(6),6,2,4,2,2,47,28,3
GER 9146,Thure Gnadeberg,Aron Tellen,BSV,(11),4,8.5,6,5,2.5,3,(11),8,5,64,42,4
DEN 9055,Fabiola Wonterghem,Michael Wonterghem,Sorø Sejlforening,(10),(22) OCS,6,5,4,5,6,7.6 RDG,6,4,75.6,43.6,5
GER 9070,Stefan Köchlin,Andreas Achterberg,SVS,(15),7.5,(22) OCS,8,3,8,4,7,4,3,81.5,44.5,6
SWE 8926,Ebbe Rosén,Olle Wenrup,MKS,8,(11),5,3,7,4,11,5,7,(22) DNC,83,50,7
GER 9149,Joerg Gosche,Rolf Meyer,SCED,12,2,4,10,12,9,(13),9,(17),8,96,66,8
DEN 9025,Per Larsen,Lasse B. Andersen,Hellerup Sejlklub,4,7.5,13,9,9,14,(15),(15),5,12,103.5,73.5,9
DEN 9079,Jesper Bülow,Søren Asboe Jørgensen,KBL,5,9,14,7,13,12,7,8,(15),(16),106,75,10
DEN 9128,Martin Friderichsen,Henrik Buhl,Hellerup Sejlklub,(18),6,7,14,10,16,9,2,(20),15,117,79,11
DEN 8232,Jonas Christiansen,Brian Sørensen,Hellerup Sejlklub,14,10,12,(17),(17),13,8,6,9,7,113,79,12
DEN 8440,Laust Castor Lund,Mads Christiansen,Aalborg Sejlklub,6,15,11,12,8,7,10,(16),(18),11,114,80,13
GER 9135,Jens Biederer,Thomas Wasilewski,HSC,7,12,8.5,(15),(14),11,12,10,14,6,109.5,80.5,14
SWE 8923,Lars Hultgren,Axel Hultgren,Råå Jolleklubb,9,(14),10,11,11,10,(16),12,10,9,112,82,15
GER 9054,Anika Wollenbecker,Raik Wollenbecker,YCBTF,3,13,15,(16),16,15,14,(17),12.5,10,131.5,98.5,16
AUS 9028,Earle Alexander,John Mclean,Darling Point SS,(20),17,16,13,15,17,(18),14,11,13,154,116,17
AUS 9071,Richard Hyde,Lindsey Gilbert,SandgateSailing Club,(19),16,(19),19,18,19,19,13,12.5,14,168.5,130.5,18
AUS 9205,Sam Cronin,David Johnson,SandgateSailing Club,17,19,17,18,(20),(20),17,18,16,17,179,139,19
DEN 8677,Rasmus Andersen,Lars Henrik Andersen,Aalborg Sejlklub,16,18,18,(20),19,18,(20),19,19,18,185,145,20
DEN 9109,Hans Genefke,Etienne Bourbeau,HS,21,20,20,(22) DNS,21,21,21,(22) DNF,22 DNS,22 DNC,212,168,21
