,Segelnummer,Besättning,,Klubb,R1,R2,R3,R4,R5,R6,R7,Total,Netto,Placering
SWE,9002,Per Wester,Lars Wester,BKSS,1,5,[8],1,4,2,4,25,17,1
SWE,8926,Ebbe Rosén,Olle Wenrup,MKS,2,2,1,6,5,3,[18 DNS],37,19,2
SWE,8962,Peter Bökmark,Martin Persson,BKSS,3,1,10,5,2,[18 DNF],1,40,22,3
SWE,9181,Malin Broberg,Johan Röök,BKSS,[18 DSQ],3,9,3,1,1,7,42,24,4
SWE,9107,Fredrik Hansson,Sven Flood,LeSS/BKSS,5,8,2,7,8,[9],3,42,33,5
SWE,9038,Mikael Gustafsson,Tore Reinhold,BKSS,[10],6,7,4,6,5,5,43,33,6
SWE,8859,Tomas Berg,Johan Calvert,BKSS,4,4,6,8,3,[12],8,45,33,7
SWE,9117,Fredrik Molander,Thomas Jaxing,BKSS,7,7,3,2,[18 DNF],10,11,58,40,8
DEN,9079,Niels Flohr,Niels Refsgaard,TjSS,8,10,12,10,[18 DNF],4,2,64,46,9
SWE,8974,Thomas Widstrand,Sten Wallin,GKSS,9,12,4,9,7,[18 DNF],6,65,47,10
SWE,9029,Mikael Olesen,Ulf Camitz,KSSS,6,11,5,11,11,6,9,59,48,11
SWE,8945,Tord Lawner,Mikael Wonterghem,BKSS,11,9,11,13,[18 DNF],11,12,85,67,12
SWE,9062,Robert Sjögren,Mattias Heiding,BKSS,12,[14],14,12,9,7,13,81,67,13
SWE,9171,Martin Fridh,Mats Dahlander,RJK,13,15,[18 DNS],18 DNS,10,8,10,92,74,14
SWE,8632,Mats Lindgren,Rasmus Tengblad,BKSS,14,13,13,16,[18 DNS],18 DNF,14,106,88,15
BEL,8773,Karin Hårding,Fredrik Wigelius,KMS,15,16,15,14,[18 DNF],18 DNF,15,111,93,16
SWE,8787,Anna-Karin Hellman,Theresa Granérus,BKSS,16,17,16,15,[18 DNF],18 DNF,18 DNS,118,100,17
