Nationalitet,SEGEL,HelmName,CrewName,Klubb,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,Båtnamn,Total,Nett,Rank
DEN,9244,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup,5.0,2.0,1.0,(6.0),(22.0 DNF),1.0,1.0,1.0,2.0,4.0,6.0,Tne Monkey is confused,51.0,23.0,1st
SWE,9181,Malin Broberg,Johan Röök,BKSS,2.0,(10.0),3.0,4.0,(22.0 DNF),2.0,2.0,3.0,8.0,3.0,1.0,Sixten,60.0,28.0,2nd
SWE,8962,Peter Bökmark,Martin Persson,BKSS,3.0,4.0,2.0,(12.0),2.0,6.0,(9.0),5.0,1.0,2.0,4.0,La Femme,50.0,29.0,3rd
SWE,8926,Ebbe Rosén,Olle Wenrup,Mälarhöjdens Kanotsällskap,(6.0),1.0,5.0,1.0,6.0,4.0,4.0,4.0,6.0,6.0,(22.0 DNS),Yellow Shark,65.0,37.0,4th
SWE,9002,Per Wester,Lars Wester,BKSS,9.0,5.0,7.0,7.0,(22.0 DNF),3.0,7.0,6.0,(11.0),1.0,3.0,NA,81.0,48.0,5th
FIN,9069,Rosemarie Hartman,Tuomas Laurila,EMK,4.0,8.0,4.0,5.0,4.0,7.0,3.0,(12.0),7.0,(9.0),9.0,Au Pair,72.0,51.0,6th
SWE,8859,Tomas Berg,Johan Calvert,BKSS,(22.0 DNS),(22.0 DNS),10.0,3.0,7.0,8.0,5.0,9.0,3.0,5.0,2.0,Lille Otto,96.0,52.0,7th
SWE,9222,Tomas Franzen,Lars Lindgren,Råå Jolleklubb-RJK,1.0,3.0,12.0,10.0,5.0,(22.0 DNF),(13.0),2.0,13.0,10.0,8.0,Gaucho,99.0,64.0,8th
SWE,9171,Martin Fridh,Mats Dahlander,RJK,7.0,(15.0),8.0,2.0,3.0,5.0,6.0,14.0,(15.0),13.0,11.0,Gråben,99.0,69.0,9th
DEN,9187,Jonas Berntsson,Magnus Lundberg,STSS,14.0,7.0,9.0,8.0,(15.0),(16.0),8.0,7.0,9.0,8.0,12.0,NN,113.0,82.0,10th
FIN,8927,Kaj Lindfors,Johan Halonen,Airisto Segelsällskap (ASS),16.0,9.0,11.0,9.0,1.0,(22.0 DNF),(22.0 DNS),22.0 DNS,5.0,12.0,7.0,...,136.0,92.0,11th
SWE,9107,Fredrik Hansson,Sven Flood,LeSS & BkSS,11.0,13.0,6.0,11.0,9.0,12.0,(22.0 DNF),(17.0),4.0,14.0,13.0,Bird,132.0,93.0,12th
SWE,8807,Didrik Dahlström,Joel Jelf,KSSS,8.0,12.0,13.0,13.0,8.0,9.0,(16.0),16.0,(22.0 DNF),11.0,5.0,8807,133.0,95.0,13th
SWE,8586,Galen Mack,Matt Hodgson,KSSS,10.0,14.0,(16.0),16.0,(22.0 DNF),14.0,11.0,8.0,12.0,7.0,14.0,SWE 8586,144.0,106.0,14th
SWE,9143,Thomas Lundberg,Oskar Lundberg,KSSS,(17.0),11.0,15.0,(17.0),10.05.2022,10.0,10.0,15.0,10.0,15.0,10.0,Kraken,140.5,106.5,15th
SWE,9117,Fredrik Molander,Thomas Jaxing,BKSS,12.0,6.0,14.0,14.0,12.0,11.0,15.0,11.0,(22.0 DNF),(17.0),15.0,nn,149.0,110.0,16th
FIN,8466,Hannu Pöyry,Matti Dillemuth,HSK,13.0,17.0,19.0,15.0,10.05.2022,15.0,12.0,10.0,(22.0 DNF),18.0,(22.0 DNS),Pinkkiviiva,173.5,129.5,17th
FIN,7922,Olle Martonen,Mikael Nylund,Wasa Segelförening,18.0,16.0,17.0,18.0,13.0,(22.0 DNF),14.0,13.0,14.0,16.0,(22.0 DNS),Stig-Helmer,183.0,139.0,18th
SWE,8547,Sebastian Gransäter,John Tengbom,KSSS,19.0,19.0,18.0,19.0,16.0,13.0,(22.0 DNF),(22.0 DNF),22.0 DNF,19.0,16.0,Angry Dragon,205.0,161.0,19th
SWE,8694,Urban Nyhammar,Dag Gustafson,KSSS,15.0,18.0,20.0,20.0,14.0,17.0,(22.0 DNF),(22.0 DNS),22.0 DNS,22.0 DNS,22.0 DNS,8,214.0,170.0,20th
SWE,896*,Edvin Åberg,Theodor Norrby,GSS,20.0,20.0,21.0,(22.0 DNS),(22.0 DNS),22.0 DNS,22.0 DNS,22.0 DNS,22.0 DNS,22.0 DNS,22.0 DNS,Stena Bulk,237.0,193.0,21st
