Nation,Segelnummer,HelmName,Crew,Klubb,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Nett,Rank
SWE,8962,Peter Bökmark,Martin Persson,BKSS,1,1,1,1,2,(3),9,6,1
SWE,9181,Malin Broberg,Johan Röök,BKSS,2,2,4,3,(6),2,19,13,2
SWE,8926,Ebbe Rosén,Olle Wenrup,Mälarhöjdens Kanotsällskap,3,3,2,2,(4),4,18,14,3
SWE,9002,Per Wester,Lars Wester,BKSS,5,5,3,4,1,(10),28,18,4
SWE,9143,Thomas Lundberg,Oskar Lundberg,KSSS,6,(8),6,5,5,6,36,28,5
SWE,9222,Tomas Franzen,Lars Lindgren,Råå Jolleklubb-RJK,7,9,5,(10),7,1,39,29,6
SWE,9013,Anders Nilsson,Jacob Reuterskiöld,Malmö Segel Sällskap,4,4,7,9,(11),5,40,29,7
SWE,9171,Martin Fridh,Mats Dahlander,Råå Jolleklubb,8,6,8,7,3,(11),43,32,8
SWE,8807,Joel Jelf,Didrik Dahlström,KSSS,(10),7,10,6,10,9,52,42,9
SWE,9117,Fredrik Molander,Thomas Jaxing,BKSS,9,(13 DNF),13 DNS,8,9,7,59,46,10
SWE,8547,Sebastian Gransäter,John Tengbom,KSSS,11,(13 DNF),9,13 DNF,8,8,62,49,11
SWE,9107,Fredrik Hansson,Sven Flood,LeSS/BkSS,(13 DNS),13 DNS,13 DNS,13 DNS,13 DNS,13 DNS,78,65,12
