Class,SailNo,Rorsman,Gast,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Nett,Rank
SWE,8859,Tomas Berg,Linnea Berg,BKSS,-11,4,3,2,1,21,10,1st
SWE,8962,Peter Bökmark,Martin Persson,BKSS,2,1,4,5,-8,20,12,2nd
SWE,9002,Per Wester,Lars Wester,BKSS,1,-7,5,3,6,22,15,3rd
DEN,9244,Jacob Bojsen-Möller,Jörgen Bojsen-Möller,Hellerup,5,6,2,-8,2,23,15,4th
SWE,9181,Malin Broberg,Johan Röök,BKSS,-10,5,1,1,10,27,17,5th
SWE,8926,Ebbe Rosen,Olle Wendrup,Mälarhöjden,7,2,8,6,-9,32,23,6th
SWE,9171,Martin Fridh,Mats Dahlander,RJK,6,10,-12,7,5,40,28,7th
SWE,9187,Jonas Berntsson,Magnus Lundberg,StSS,3,-13,7,9,11,43,30,8th
SWE,9117,Fredrik Molander,Thomas Jaxing,BKSS,4,-12,11,11,7,45,33,9th
SWE,9038,Mikael Gustafsson,Tore Reinhold,BKSS,-16,3,14,14,4,51,35,10th
DEN,9055,Michael Wonterghem,Fabiola Wonterghem,Holbaeck,12,11,9,-13,3,48,35,11th
SWE,8923,Lars Hultgren,Axel Hultgren,RJK,9,8,6,-12,12,47,35,12th
SWE,9222,Tomas Franzén,Lars Lindgren,RJK,8,9,10,-15,14,56,41,13th
SWE,8807,Joel Jelf,Didrik Dahlström,KSSS,13,15,13,4,-16,61,45,14th
SWE,8974,Thomas Widstrand,Sten Wallin,GKSS,14,14,-16,10,15,69,53,15th
SWE,9013,Anders Nilsson,Jacob Reuterskiöld,MSS,15,-16,15,16,13,75,59,16th
