Sail Number,Helm,Crew,Club,R1,R2,R3,R4,S,P
GER 8934,Frank Beier,Mauritz Heeg,SCLM,83,78,87*,69,230,82
GER 8988,Georg Mittermayer,Dirk Barteldt,Larissa,81,87,64,92*,232,83
GER 8686,Markus Hintzjörg Kinder,Zandy3,HSC,89,82,90*,70,241,84
GER 8964,Iris Anton,Bruno Laudage,Green Boat,79,83*,82,80,241,85
GER 8672,Dirk Hütten,Guido Von Walter,SGR,71,88*,85,86,242,86
AUS 9071,Richard Hyde,Lindsay Gilbert,Red Barron,82,85*,84,76,242,87
GER 8630,Lars Lankenau,Felix Hummel,HighFive,87,90*,88,68,243,88
GER 9139,Dirk Penno,Ralph Valkenberg,DTYC,88,89*,76,88,252,89
POL 8437,Dominik Pawłowski,Kacper Kaczmarek,AZS Poznan,91*,86,89,81,256,90
GER 8469,Hansjörg Ehlers,Thomas Afken,ZSK,86,92*,91,91,268,91
GER 9123,Enno Wilts,Martin Bernauer,SGJ,90,91,95.0* DNC,90,271,92
GBR 9179,Tudor Owen,Tom Bruton,The Mechanic,95.0* DNC,95.0DNC,95.0DNC,95.0DNC,285,93
GER 8940,Martin Kittsteiner,Oliver Stieglitz,HSC,95.0* DNC,95.0DNC,95.0DNC,95.0DNC,285,93
