POL #,helm,crew,club,r1,r2,r3,r4,r5,r6,sum,place
POL 9170,Przemek Zagórski,Michał Olko,YK Stal Gdynia,2,1,1,2,1,16 DNS*,7,1
POL 9119,Mateusz Jura,Bartosz Chroł,AZS AGH Warszawa,16 OCS*,2,2,1,3,1,9,2
POL 8802,Dominik Ostrowski,Jakub Folczak,SWOS Warszawa,1,3,3,3,2,16 DNC*,12,3
POL 8909,Jan Domański, Maciej Goździk, KPNG Sailing Team,3,5,4,16 DNF*,4,2,18,4
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal Gdynia,5,16 DNC*,7,4,6,3,25,5
POL 8751,Mieczysław Szwed,Wojciech Kasprzyk,Centrum Żeglarskie Szczecin,4,6,6,7,9*,5,28,6
POL 8129,Jakub Kusiorski,Robert Korybut-Daszkiewicz,AZS Olsztyn,6,7,11*,6,8,4,31,7
POL 8769,Michał Ruciński,Patryk Płotka,MIPRO AKM Gdańsk,8,8,9,9,7,16 DSQ*,41,8
POL 8582,Jakub Kozanko,Michał Wdówka,,16 OCS*,4,5,16 OCS,5,16 OCS,46,9
POL 9015,Igor Graczyk,Maciej Graczyk,MŻKS Poznań,16 DNC*,9,16 DNC,5,10,6,46,10
POL 8497,Aleksandra Kachlicka,Michał Prończuk,AZS Poznań,16 DNF*,16 DNC,8,8,12,7,51,11
POL 8145,Paweł Kluczyński,Władysław Kondej,AZS Poznań,7,16 DNC*,10,16 OCS,11,8,52,12
POL 8028,Ewa Pawlaczyk,Anna Zabłocka,ŻLKS Poznań,9,19,16 DNC*,16 DNC,16 DNC,16 DNC,67,13
POL 8217,Wojciech Denderski,Norbert Kiderys,PSK 5O5,10,16 DNF*,16 DNC,16 DNC,16 DNC,16 DNC,74,14
POL 8359,Tomasz Polikowski,Adam Najmowicz,Eurobank Sailing Team,16 DNC*,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,80,15
