Nation,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Discard,Poins,Place
IRL,7973,Ronan Kenneally,Charles Dwyer,,2,1,1,1,1,9,15,9,6,1
IRL,8357,Michael O'Brien,Kieran O'Leary,,9,4,3,2,3,1,22,9,13,2
IRL,8313,Ewen Barry,Martin Almond,,1,3,2,5,7,3,21,7,14,3
IRL,8309,James O'Brien,Stanley Browne,,4,6,8,3,2,2,25,8,17,4
IRL,8269,Colin Barry,Michael M’Donnell,,7,2,4,4,4,9,30,9,21,5
IRL,8408,Brian Jones,Dale Spoonley,,7,8,5,6,7,9,42,9,33,6
IRL,8072,Chris Marwood,Stan Reynolds,,3,5,8,9,9,9,43,9,34,7
IRL,848*,Wade Cuppage,Jennifer Cuppage,,9,9,9,9,9,9,54,9,45,8
