Nat,SailNo,HelmName,CrewName,Club,Race 1,Race 2,Race 3,Total,Nett,Rank
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,1,2,1,4,4,1st
FIN,8768,Jukka Nieminen,Antti Salonen,Giiamari SP,2,1,2,5,5,2nd
FIN,8873,Sampsa Hyysalo,Lauri Kääpä,Carbon Footprint HSK,3,7,3,13,13,3rd
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,5,4,4,13,13,4th
FIN,8466,Hannu Pöyry,Juha Pietilä,Pinkkiviiva VVK,8,3,6,17,17,5th
FIN,8659,Kira Maisniemi,Matti Dillemuth,Lennart HSK,4,6,7,17,17,6th
FIN,8585,Henri Räty,Juha Nurmela,Villa Wolax N,6,5,8,19,19,7th
FIN,7824,Erkka Ikonen,Jukka Suonpää,TaPs,7,8,5,20,20,8th
FIN,8127,Raimo Raita,Juha Nurmela,V-71,10 DNC,10 DNC,10 DNC,30,30,9th
