Nation,Boat NO,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,,Place
USA,8342,Holt,Beasley,,4,1,3,2,14,3,13,,1
GBR,8676,Roninson,Cawthorn,,1,5,1,1,8,6,14,,2
GBR,8377,Miles,Crispin,,6,4,12,5,2,1,18,,3
GBR,8556,Tew,Ironmonger,,19,7,4,3,10,2,26,,4
GBR,8526,Bird,Arthur,,7,2,7,4,7,11,27,,5
GBR,8705,Scutcher,Lake,,12,13,8,8,1,5,34,,6
GBR,8679,Montague,Fulcher,,10,3,6,10,20,7,36,,7
GBR,8489,Webster,Ironmonger,,5,10,11,17,3,8,37,,8
GBR,8720,Hodgson,Macleod,,2,6,2,13,22,24,45,,9
GBR,8495,Peacock,Hewkin,,9,R,5,7,23,4,48,,10
GBR,8419,Turnbull,Lunn,,14,9,9,6,12,14,50,,11
GBR,8701,Lovesey,Williams,,8,8,10,16,R,13,55,,12
GBR,8427,Napier,Morrison,,3,11,13,18,21,15,60,,13
GBR,8291,Sims,Woods,,13,12,14,12,16,R,67,,14
GBR,8650,Selfe,Montague,,18,20,26,11,11,12,72,,15
GBR,8494,Andreae,Stallard,,15,23,19,R,4,20,81,,16
GBR,8574,Martin,Perkins,,20,22,23,14,6,19,81,,17
GBR,8493,Dando,Sloan,,17,15,15,R,13,21,81,,18
GBR,8508,Neal,Kimber,,24,14,R,15,15,18,86,,19
GBR,8434,Fernley,Matthews,,21,18,20,22,24,9,90,,20
GBR,8483,Sydenham,Brittin,,23,16,24,19,18,16,92,,21
GBR,8380,Stainsby,Bennett,,11,19,18,23,N,22,93,,22
GBR,8624,Newman,Cull,,27,17,22,21,25,10,95,,23
GBR,8510,Andrew Thorp,Nick Thorp,,25,24,21,25,9,23,102,,24
GBR,8555,Smithwhite,Young,,N,N,N,9,5,R,105,,25
GBR,8384,Townsend,Lawrence,,R,R,N,20,17,17,111,,26
GBR,848*,Wain,Peats,,26,21,16,24,26,25,112,,27
GBR,8532,Clayton,Hood,,22,25,25,R,19,26,117,,28
GBR,8640,Ralston,Spratt,,16,N,17,N,N,N,126,,29
