Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Place
USA,8342,Mike Holt,Lan Godfrey,,1,2*,2,1,1,1,8,6,1
GBR,8676,Clive Robinson,Gary Cawthorn,,4,3,21*,3,6,5,42,21,2
GBR,8378,Martin Hodgson,Alastair Macleod,,3,5,9*,5,3,8,33,24,3
GBR,8481,Simon Payne,Bill Masterman,,2,1,1,2,21*,21,48,27,4
GBR,8429,Rob Napier,Keith Summersgill,,5,8*,8,6,7,3,37,29,5
GBR,8705,Richard Lord,Simon Lake,,7,6,10,4,5,21*,53,32,6
GBR,8419,Stuart Turnbull,Jason Lunn,,8,10,4,12*,9,4,47,35,7
GBR,8701,Paul Lovesy,Andy Williams,,6,4,3,21*,2,21,57,36,8
GBR,8489,John Webster,Eric Ironmonger,,9,11*,6,9,8,6,49,38,9
GBR,8708,Martin Wedge,Nick Biloe,,21*,9,7,8,21,2,68,47,10
GBR,8307,Paul Foddy,Peter Smithin,,12*,12,11,11,10,7,63,51,11
,848,Tom Wain,Jon Peats,,21*,13,13,14,11,9,81,60,12
GBR,8707,Steve Nicholson,John Mildram,,21*,7,5,7,21,21,82,61,13
GBR,8640,Vernon Ralston,Simon Spratt,,21*,21,21,10,4,21,98,77,14
GBR,8678,Jim Berry,Richard Berry,,13,15,15,13,21*,21,77,77,15
GBR,8467,Chris Romans,Brenda Romans,,10,16,12,21*,21,21,101,80,16
GBR,8726,Martin Stainsby,Jim Bennett,,11,14,14,21*,21,21,102,81,17
GBR,8217,Adrian Lane,Geoff Lane,,15,17,16,21*,21,21,111,90,18
GBR,8532,Tom Clayton,Dennis Hyatt,,14,21*,21,21,21,21,119,98,19
,8380,Dick Rowe,William Garnier,,21*,21,21,21,21,21,126,105,20
