Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
GBR,8834,Ian Pinnell,Steve Hunt,,1,1,2,,,,,4,1
IRL,8269,Colin Barry,Charles Dwyer,,3,4,1,,,,,8,2
GBR,8708,Martin Wedge,Scott Allen,,5,2,3,,,,,10,3
GBR,8701,Rob Napier,Matt Bristow,,2,5,4,,,,,11,4
GBR,8694,Andy Williams,Andy Edmunds,,4,3,7,,,,,14,5
GBR,8835,Simon Lake,Rick Berry,,7,6,9,,,,,22,6
IRL,8521,Ronan Kenneally,,,8,7,8,,,,,23,7
IRL,8357,Michael O'Brien,William O'Brien,,10,9,6,,,,,25,8
GBR,8678,Jim Berry,David Barnes,,6,13,10,,,,,29,9
IRL,8678,James O'Brien,Sandy Rimmington,,DNF 16,10,5,,,,,31,10
IRL,8072,Chris Marwood,Gavin Burnell,,11,8,11,,,,,30,11
IRL,848*,Jennie McCarthy,,,9,12,14,,,,,35,12
IRL,8313,David O'Connell,Shane O'Connell,,DNF 16,11,12,,,,,39,13
IRL,8408,Brian Jones,Dale Spoonley,,DNF 16,13,13,,,,,42,14
GBR,8474,Chris Thorne,Chris Romans,,12,DNF 16,DNC,,,,,44,15
