Sail Number,Team,,Club,R1,R2,R3,R4,R5,T,N,Nr
GER 9090,Christian Kellner,Jakob Achterberg,HSC,1,2,1,1,(12) DNF,17,5,1
GER 9100,Hendrik Schultz,Ute Oberländer,SCLW,2,(4),4,2,1,13,9,2
GER 9133,Frieder Achterberg,Wolfgang Stückl,DTYC,(5),1,2,4,3,15,10,3
GER 877,Thoralf Wolfenstetter,Thorsten Koch,SCLW,(4),3,3,3,2,15,11,4
GER 9114,Mats Westholm,Jochen Heydolph,SCLW,3,(5),5,5,5,23,18,5
GER 8672,Dirk Hütten,Guido Von Walter,SGR,(7),6,6,6,4,29,22,6
GER 8998,Ingo Schneider,Sebastian Hoering,SCLW,(8),7,7,7,6,35,27,7
GER 8769,Nathalie Zeiler,Claudius Zeiler,SCLW,6,(12) DNF,12 DNF,12 DNF,12 DNF,54,42,8
GER 8530,Alexander Von Mertens,Christian Dörr,bsv07,(12) DNF,12 DNF,12 DNF,12 DNF,12 DNF,60,48,9
GER 8777,Frisco Sanguino-Petersen,,Sclw,(12) DNF,12 DNF,12 DNF,12 DNF,12 DNF,60,48,9
GER 9122,Lara Vadlau,Kilian Northoff,KYCK,(12) DNS,12 DNS,12 DNS,12 DNS,12 DNF,60,48,9
