Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Punkte,Pl.
GER,9146,Nicola Birkner,Johannes Tellen,SVaW,1,3,1,2,1,,1
DEN,912*,Jens Olbrysch,Oliver Thies,HSC,2,6,3,1,3,,2
GER,8463,Moritz Bruhns,Viktoria Warminski,,4,1,2,6,DNC,,3
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,3,7,4,4,2,,4
GER,8875,Torsten Simon,Alexander Neddermeier,PYC,7,4,9,5,7,,5
GER,9133,Maximilian Adami,Bastian Henning,DTYC,5,DNC,5,10,4,,6
GER,9054,Anika Kébreau,Raik Wollenbecker,YCBG,9,5,6,7,DNC,,7
GER,8915,Davina Schlesiger,Marvin Schlesiger,MSC,6,2,10,13,10,,8
GER,9021,Jens Biederer,Thomas Wasilewski,HSC,10,11,7,3,8,,9
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,13,8,8,8,6,,10
GER,9141,Konrad Otto,Martin Lietz,SGS,8,9,13,9,5,,11
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,12,10,11,14,11,,12
GER,9000,Thorsten Pösch,Moritz Lüther,SGSZ,11,12,12,11,DNC,,13
GER,8721,Martin Bernauer,Kerstin Bernauer,CNFT,DNC,13,14,12,9,,14
GER,8619,Sabrina Rahn,Matthias Dachs,,DNC,DNC,DNC,DNC,DNC,,15
