Sail Number,Helm,Crew,Club,R1,R2,R3,T,N,Place
GER 8929,Kai Bertallot,Nils-Henning Hofmann,FSC,1,1,2,4,4,1
GER 9113,Sophie Söllner,Karsten Stümpel,CYC,2,2,4,8,8,2
GER 8992,Lutz Stengel,Frank Feller,ROYC,3,5,1,9,9,3
GER 8317,Tom Gosch,Antje Gosch,ENSFR,5,6,3,14,14,4
GER 8720,Lennart Tasche,Frederik Tasche,WSVG 09,7,7,6,20,20,5
GER 9144,Jürgen Anton,Ulf Denecke,HSC,16,3,5,24,24,6
GER 8915,Marvin Schlesiger,Joseph Schütte,MSC,6,9,9,24,24,7
GER 9066,Peter Gerdts,Christian Labenz,SVWU,4,10,13,27,27,8
GER 8947,Ralf Schneidewind,Oliver Schürmann,SLRV,14,4,10,28,28,9
GER 91,Walter Steding,Hans-Werner Steding,HSC,8,14,7,29,29,10
GER 7938,Hermann Heide,Gottfried Petschulat,,33,8,8,33,17,11
GER 8903,Steve Kwee,Thorsten Spötter,HSC,10,13,12,35,35,12
GER 8874,Dietrich Kirchner,Stephan Lübbe,SVWU,9,11,18,38,38,13
GER 9021,Jens Biederer,Hendrik Annighöfer,HSC,13,12,15,40,40,14
GER 8988,Georg Mittermayer,Dirk Barteldt,SCLL,11,18,14,43,43,15
GER 8619,Matthias Dachs,Jörn Alberts,HSC,18,17,11,46,46,16
GER 9057,Wiebke Siemsen,Mitja Hettwer,KYC,12,15,19,46,46,17
GER 8964,Iris Anton,Bruno Laudage,HSC,15,19,16,50,50,18
GER 8691,Harald König,Katja Frühwald-König,SRVL-S,20,16,20,56,56,19
GER 9000,Martin Bernauer,Enno Wilts,OSG,19,20,17,56,56,20
GER 9059,Robert Neumann,Siri Jensen,MSC,21,21,21,63,63,21
GER 8999,Frederik Burmester,Patrick Eberwein,CKA,22,22,22,66,66,22
