Nr,Nr Na Żaglu,Team,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R,N,
GBR 9088,Andy Smith,Tim Needham,Ncsc,5,1,4,(10),4,1,1,1,1,3,(51) DNC,82,21,1
GER 9152,Wolfgang Dr Hunger,Julien Kleiner,PYC,(7),2,2,7,2,2,3,3,2,2,(9),41,25,2
GBR 9163,Ian Pinnell,Alex Davies,hisc,2,6,6,1,1,3,6,5,(7),6,(21),64,36,3
DEN 9121,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup,3,(11),3,(14),5,4,5,10,3,1,4,63,38,4
GBR 9143,Richard Lovering,Matt Alavado,HISC,(11),7,1,5,8,6,4,2,(9),5,3,61,41,5
USA 9084,Tyler Moore,Andrew Buttner,HYC/WYC/CYC,8,(21),7,2,3,5,(16),4,5,9,6,86,49,6
DEN 9128,Nikolaj Hoffmann Buhl,Henrik Buhl,Hellerup Sejlklub,1,3,8,12,6,12,(25),7,(30),11,10,125,70,7
GER 9135,Stefan Böhm,Gerald Roos,SCV,16,5,18,4,15,8,2,6,8,(23),(23),128,82,8
GER 9180,Meike Schomäker,Holger Jess,ZSK,(19),17,15,(18),16,9,9,9,6,4,5,127,90,9
GER 9070,Stefan Köchlin,Andreas Achterberg,SVS,13,9,5,6,17,14,(24),8,(20),20,7,143,99,10
SUI 8613,Ueli Marti,René Betschen,CNB,12,15,10,(20),(19),10,13,13,19,15,1,147,108,11
GER 9101,Timon Treichel,Morten Roos,DYC,10,10,(19),3,14,(27),14,17,18,10,16,158,112,12
GER 9149,Leonie Meyer,Rolf Meyer,NRV,4,20,(31),17,9,7,12,(22),17,14,14,167,114,13
GER 9029,Hannes Wagner,Lars Dehne,KYC,21,14,20,11,10,(51) DNC,8,12,12,(51) DNC,8,218,116,14
GER 9169,Tim Böger,Markus Schöner,HSC,(23),12,23,16,7,18,10,11,16,16,(36),188,129,15
FRA 9075,Philippe Boite,Pierre Jean,CVSQ,15,(35),13,15,13,13,(51) DNC,26,15,24,2,222,136,16
GBR 9117,Thomas Gillard,Richard Anderton,SVSC,14,13,(26),9,20,(25),7,16,25,12,22,189,138,17
GBR 9131,Nathan Batchelor,Alex Knight,Tynemouth SC,6,8,17,(29),11,(51) DNC,23,19,28,17,11,220,140,18
SUI 9096,Cédric Bart,Laurent Grob,CNB,9,(28),24,21,24,16,17,18,14,(29),27,227,170,19
SUI 9147,Caroline Jacot,Philippe Jacot,CNB,22,22,9,(23),22,19,20 DPI,(24),21,18,17,217,170,20
FRA 9076,Xavier Broise,Nicolas Des Jamonieres,SNPH,17,4,21,(51) DNC,23,20,(51) DNF,51 DNC,4,8,24,274,172,21
GER 9133,Thomas Gosch,Wolfgang Stückl,ENSFR,20,19,12,(27),18,15,20,25,24,(26),20,226,173,22
GER 8975,Alexander Holzapfel,Michael Freitag,PSVK,(28),23,14,(30),21,21,22,15,27,19,13,233,175,23
GER 8720,Lennart Tasche,Frederik Tasche,WSVG 09,26,27,(51) DNC,24,(29),17,21,23,13,22,19,272,192,24
DEN 912,Jens Olbrysch,Oliver Thies,HSC,24,25,16,19,(31),22,15,20,(31),25,31,259,197,25
GBR 9104,Harry Briddon,Adam Kenney,Ogston SC,27,18,22,25,(51) DNC,(51) DNC,19,29,22,30,26,320,218,26
GER 9171,Stefan Giesler,Frank Böhm,VSAW,18,26,27,26,27,(28),(29),27,26,21,25,280,223,27
GER 8669,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,(51) DNC,(51) DNC,51 DNC,13,12,11,51 DNF,51 DNC,10,7,18,326,224,28
DEN 9118,Jan Saugmann,Jakob Karbo,Hellerup,(51) DNC,(51) DNC,51 DNC,22,51 DNC,51 DNC,11,14,11,13,15,341,239,29
GER 8915,Marvin Schlesiger,Joseph Schütte,MSC,29,29,29,33,(40),23,36,(39),35,31,12,336,257,30
GER 9040,Norbert Dasenbrook,Sven Meier,KSW,(51) DNC,24,32,28,25,26,27,21,23,(51) DNC,51 DNC,359,257,31
GBR 9136,Stewart Mears,Richard Tucker,RCYC,(51) DNC,(51) DNS,25,31,28,24,26,28,32,36,38,370,268,32
GER 9020,Jörn Wille,Martin Bergmann,MSC,32,31,(34),32,32,30,31,32,33,27,(34),348,280,33
GER 9035,Ronald Roos,Maren Roos,SVWU,31,33,(51) DNC,(43),34,29,30,34,36,28,29,378,284,34
GER 8929,Kai Bertallot,Nils-Henning Hofmann,FSC,25,16,11,8,26,(51) DNC,(51) DNC,51 DNC,51 DNC,51 DNC,51 DNC,392,290,35
GER 9057,Wiebke Siemsen,Mitja Hettwer,KYC,(51) DNC,30,28,(51) DNC,51 DNC,35,28,30,29,40,37,410,308,36
GER 8750,Peter Kruse,Arne Wittemer,SC HATTINGEN,(51) DNC,(51) DNC,51 DNC,34,33,31,32,31,37,33,28,412,310,37
GER 8947,Ralf Schneidewind,Oliver Schürmann,SLRV,34,37,30,37,(51) DNC,(51) DNC,33,33,34,32,41,413,311,38
GER 8874,Henning Steffen,Tilman Giesen,SLRV,35,39,37,(41),37,34,40,38,(51) DNC,35,30,417,325,39
FRA 9086,Elisabeth Neidhart,David De Monteil,YCIF,30,32,33,35,30,(51) DNC,(51) DNC,51 DNC,51 DNC,34,32,430,328,40
GER 8806,Anna Hauschild,Katharina Menge,SCS,36,(51) DNC,(51) DNC,38,39,33,37,36,41,38,35,435,333,41
GER 9021,Jens Biederer,Hendrik Annighöfer,HSC,39,34,38,36,36,36,38,(51) DNC,39,(51) DNF,40,438,336,42
GER 9123,Enno Wilts,Stefan Schmidt,SVSS,(51) DNC,(51) DNC,51 DNC,40,41,32,34,35,40,37,33,445,343,43
GER 8843,Olivier Kraft,Frank Heimburger,SSCM,38,36,(51) DNC,(51) DNC,51 DNC,51 DNC,35,37,38,51 DNC,51 DNC,490,388,44
GER 8932,Christian Henge,Katja Henge,WSCW,37,(51) DNC,(51) DNC,42,38,51 DNC,51 DNC,51 DNC,51 DNC,39,39,501,399,45
AUS 9028,Earle Alexander,Kevin Reisenauer,Darling Point SS,33,38,35,39,(51) DNC,(51) DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,502,400,46
GER 9000,Thorsten Pösch,Christian Janßen,SCSZ,(51) DNC,40,36,44,35,(51) DNF,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,512,410,47
GER 8630,Lars Lankenau,Christian Janßen,SFHS,(51) DNC,41,39,(51) DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,41,42,520,418,48
GER 8999,Frederik Burmester,Patrick Eberwein,CKA,(51) DNC,(51) DNF,51 DNC,51 DNC,51 DNC,51 DNC,39,40,51 DNC,51 DNC,51 DNC,538,436,49
GER 8990,Ralf Breitenfeldt,Thore Von Puttkamer,HSC,(51) DNC,(51) DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,561,459,50
