Nation,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,Boat,Total,Nett,Rank
RSA,9094,Peter Funke,Thomas Funke,Aeolians/PYC,1,1,1,1,LELO,4,4,1st
RSA,8789,Alex Ham,Warwick Ham,RCYC/PSC,3,2,2,2,Seven of 9,9,9,2nd
RSA,8445,Kyle Klaas,Robert v Gruenewaldt,PSC,2,3,3,3,BRT,11,11,3rd
RSA,7722,Dudley Thomson,Allan Lethwaite,BSC,6,5,5,5,BSB,21,21,4th
RSA,7682,Luke Wagner,Rudi Fokkens,PYC,5,4,10.0 DNC,4,Flash Dance,23,23,5th
RSA,8537,Andrew Arthur,Ian Campbell,EYC,7,6,6,6,2 dogs,25,25,6th
RSA,8406,Bronwen Klaas,Greg Barnard,PSC,4,10.0 DNF,4,10.0 DNF, ,28,28,7th
RSA,8471,Campbell Tiley,CJ Milln,LDYC,10.0 DNF,10.0 DNC,10.0 DNC,10.0 DNC,Fish Eagle,40,40,8th
RSA,5837,Alan,Dean,BSC,10.0 DNC,10.0 DNC,10.0 DNC,10.0 DNC,Razzmatazz,40,40,8th
