Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Place
USA,9202,Mike Holt,Rob Woelfel,IO Integration/ Santa Cruz YC,2,-3,3,1,1,2,1,10,1
USA,9009,Bob Tennant,Steve Bourdow,RVic YC,-6,1,4,2,3,1,2,13,2
USA,8714,Mike Martin,Reeve Dunne,Black Boat/ StFyc,1,2,1,-4,4,3,4,15,3
USA,8680,Jeff Miller,Patrick Diola,B-Boat/ SCYC,-5,4,2,3,2,4,3,18,4
USA,8937,Tim Murphy,,MYC,4,6,(OCS-8),5,5,5,5,30,5
USA,9190,Pierre Jeangirard,Paul Vongrey,Oak harbor yacht club,3,5,5,(DNS-8),DNC-8,DNC-8,DNC-8,37,6
USA,8084,Aaron Ross,Rob Waterman,Rob’s Olde Boat/ Santa Cruz Yacht Club,DNC-8,DNC-8,(DNC-8),DNC-8,DNC-8,DNC-8,DNC-8,48,7
