Nation ,Boat No,Helm,Crew,Boat name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Place
,8939,Clark Hayes,,8939,1,1,2,[4],1,3,4,3,15,1
,8853,Michael Komar,,505,2,2,3,3,3,2,2,10/DNF*,17,2
USA,9005,Thomas Kivney,,Katiebear,4,[5],1,1,2,4,5,2,19,3
,8265,Luke Ingalls,,8265,10/DNF*,6,10/DNF,2,4,1,1,1,25,4
GBR ,8708,Ben Greenfield,,GBR 8708,10/DNF*,3,4,6,5,7,3,7,35,5
USA,8930,Duane Delfosse,,8930,3,4,6,[7],6,5,6,6,36,6
USA,8018,Sol Marini,,Marini,5,7,10/DNF*,5,7,8,7,5,44,7
USA,9183,Michael Breton,,No Retreat,6,8,5,8,9,6,[9],4,46,8
USA,8081,Mark Linker,,8081,10/DNF*,9,7,9,8,9,8,8,58,9
