Nation,SailNo,Helmname,Crewname,Boat,R1,R2,Total,Nett,Place
USA,9095,G. Nelson,,Highway 95 Revisited,2,1,3,3,1
USA,8913,Dan Herlihy,Austin Powers,,5,3,8,8,2
USA,9165,Curtis Hartmann,,Boaty,7,2,9,9,3
USA,8822,David Burchfiel,Joseph Smith,Wicked Pissa,3,6,9,9,4
USA,8883,Michael Renda,Kelsey Averill,Jane’s Addiction,6,5,11,11,5
USA,7200,Alexander Meller,Russell Miller,Macy’s Reject,1,11.0 DNC,12,12,6
USA,9138,Barney Harris,,Deer Hunter,11.0 RET,4,15,15,7
USA,9003,Jesse Falsone,Tyler Mowry,Toxic Asset,4,11.0 DNC,15,15,8
CAN,8850,Douglas Watson,Matthew Breton,Dr. Crash,11.0 DNS,7,18,18,9
USA,88*,Jimmy Praley,Geoff Gales,,11.0 DNS,11.0 DNC,22,22,10
