Nation,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,Total,Nett,ank
USA,8755,Brian Trainor, ,Kitsilano YC,1.0,1.0,1.0,1.0,(2.0),2.0,1.0,9.0,7.0,1
USA,9083,Robert Waterman, ,ABYC,(3.0 DNC),3.0 DNC,3.0 DNC,3.0 DNC,1.0,1.0,2.0,16.0,13.0,2
