Nation,Sail,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat,Total,Pos
USA,9106,Michael Martin,Adam Lowry,StFYC / NHYC,1,1,1,1,1,Mike's Boat,5,1
CAN,9009,Robert Tennant,Steve Bourdow,RVicYC,2,2,3,2,3,,12,2
USA,9202,Mike Holt,Rob Woelfel,Santa Cruz YC,3,3,2,4,4,IO Integration,16,3
USA,9082,Jeff Miller,Reeve Dunne,SCYC,4,4,4,3,2,Miracle,17,4
USA,8680,Andrew Hamilton,Patrick Diola,ACSC,5,5,7,8,9,Deep Blue,34,5
USA,7200,Alexander Meller,Alexander Meller,Severn Sailing Association,6,7,11/DNS,6,5,Time Is On My Side/Un Canadien Errant,35T,6
USA,8084,Aaron Ross,Aaron Ross,Santa Cruz Yacht Club,11/DNF,6,5,7,6,Rob's Olde Boat,35T,7
USA,8937,Tim Murphy,,None,7,11/DNS,6,5,7,,36,8
USA,7877,Steve Anderes,,SSS,11/DNF,11/DNS,11/DNS,9,8,Spiff,50,9
USA,7774,Paul Tara,Mackenzie Cook,Santa Cruz Yacht Club,11/DNF,11/DNS,11/DNS,11/DNC,11/DNC,Cahoots,55,10
