Country,Boat #,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Netto,Place
USA,9266,Mike Holt,Rob Woelfel,Etats Unis D'Am,3,1,1,1,[6],2,1,15,9,1
GER,9198,Micki Daisenberger,Johannes Tellen,Allemagne,2,3,2,[DNC 34],8,5,3,57,23,2
GER,9251,Jan-Philipp Hofmann,Felix Brockerhoff,Allemagne,[12],2,9,9,1,1,2,36,24,3
USA,9262,Howard Hamlin,Jeff Nelson,Etats Unis D'Am,5,6,3,[DNC 34],3,3,4,58,24,4
GBR,9238,Ian Pinnell,Charles Dwyer,Grande-Bretagne,1,[8],5,4,2,8,5,33,25,5
GER,9185,Stefan Boehm,Gerald Roos,Allemagne,4,4,[DNF 34],5,5,7,6,65,31,6
GER,9090,Christian Kellner,Martin Scholer,Allemagne,6,5,4,7,[11],4,7,44,33,7
FRA,9220,Philippe Boite,Marin Carnot,CVSQ,13,7,8,2,[18],6,9,63,45,8
GER,9258,Alexander Holzapfel,Arne Wittemer,Allemagne,7,9,7,8,12,17,11,71,54,9
USA,9247,Mike Punnett,Alex Davies,Etats Unis D'Am,[25],13,6,14,4,15,12,89,64,10
GBR,8935,David Ellis,Jim Hunt,Grande-Bretagne,8,10,11,17,15,10,[21],92,71,11
GER,9260,Tim Boger,Finn Boger,Allemagne,10,15,[DNF 34],6,7,23,14,109,75,12
AUS,9210,Michael Quirk,Cameron McDonald,Australie,11,[DNC 34],DNF 34,3,9,12,8,111,77,13
GER,8849,Henrik Schade,Sebastian Wiemer,Allemagne,18,16,13,18,[19],14,13,111,92,14
GER,9231,Stefan Giesler,Frank Bohm,Allemagne,17,[DNC 34],DNF 34,10,10,13,10,128,94,15
GER,9070,Sophie Sollner,Andreas Achterberg,Allemagne,22,12,15,13,13,26,[DNS 34],135,101,16
FRA,9147,Herve de Kergariou,Guillaume de Kergariou,Y C ILE DE FRANCE,21,14,12,15,[22],22,17,123,101,17
GER,912*,Nils-Henning Hofmann,Timon Treichel,Allemagne,23,11,10,12,[DNC 34],31,16,137,103,18
GER,9182,Alexander Swade,Patrick Treichel,Allemagne,9,[DNC 34],DNF 34,11,16,19,19,142,108,19
SUI,9096,Cedric Bart,Rene Betschen,Suisse,15,[DNC 34],DNF 34,19,17,11,15,145,111,20
FRA,921*,Ludovic Roblin,Benoît Radier,France,[DNF 34],DNC 34,14,16,20,18,20,156,122,21
GER,9133,Lena Stueckl,Jakob Achterberg,Allemagne,20,17,[DNF 34],RET 34,14,16,DNS 34,169,135,22
BEL,9121,Paul Gorremans,Marie-Pierre Hayette,Belgique,27,18,16,25,[DNC 34],30,23,173,139,23
FRA,9150,Valentin Dechauffour,Pierre Gendry,ASN QUIBERON,14,[DNC 34],DNF 34,21,21,21,DNS 34,179,145,24
BEL,9164,Pierre Gorremans,Jean Gorremans,Belgique,28,[DNC 34],17,26,25,28,22,180,146,25
GER,9197,Nicola Birkner,Angela Stenger,Allemagne,19,[DNC 34],DNF 34,22,23,25,DNS 34,191,157,26
FRA,9219,Elisabeth Neidhart,Pierre Jean Gallo,Y C ILE DE FRANCE,16,[DNC 34],DNF 34,DNC 34,DNC 34,24,18,194,160,27
SUI,9267,Caroline Jacot,Philippe Jacot,Suisse,24,[DNC 34],DNF 34,DNC 34,DNC 34,9,DNS 34,203,169,28
FRA,8943,Philippe Markt,Delphine Markt,C N Saint-Raphaël,26,[DNC 34],DNF 34,23,24,29,DNS 34,204,170,29
GBR,9261,Martin Wedge,Graham Elliot,Grande-Bretagne,[DNF 34],DNC 34,DNF 34,20,DNC 34,20,DNS 34,210,176,30
GER,9195,Dirk Penno,Simon Glutsch,Allemagne,[DNF 34],DNC 34,DNF 34,24,DNC 34,27,DNS 34,221,187,31
GER,8750,Mirco Gantenberg,Jacob Niewiarra,Allemagne,[DNF 34],DNC 34,DNF 34,DNC 34,DNC 34,DNF 34,DNS 34,238,204,---
FRA,9098,Michel Delsemme,Benjamin Raybaud,S N S T,[DNF 34],DNC 34,DNF 34,DNC 34,DNC 34,DNC 34,DNS 34,238,204,---
