Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Brutto,Netto,Place
FRA,9220,Philippe Boite,Marin Carnot,CVSQ / CVSQ,UFD 13,1,1,1,2,3,1,22,9,1
SUI,9267,Caroline Jacot,Philippe Jacot,,1,3,2,2,1,1,4,14,10,2
FRA,9147,Hervé de Kergariou,Alban Viaud,Y C ILE DE FRANCE / C N CO ST TROJAN,4,2,3,3,4,2,10,28,18,3
FRA,,Gilles Chapelin,Charles-Antoine de Joux,C V BORDEAUX C M / LA ROCHELLE NAUTIQUE,3,5,4,4,5,UFD 13,2,36,23,4
FRA,9150,Valentin Dechauffour,Pierre Gendry,ASNQ / S N O NANTES,2,4,5,6,3,8,6,34,26,5
FRA,9045,Nicolas Guillou,Nicolas Radier,S N P H / C N TREGASTEL,5,6,7,7,8,9,3,45,36,6
FRA,,Serge Gubri,Bruno Gallardo,C V SEINE-PORT / S R CAEN OUISTREHAM,7,7,6,9,6,5,5,45,36,7
FRA,,Philippe Lucienne,Nicolas Auberger,S.R.C. Sud-Oise / S.R.C. Sud-Oise,UFD 13,9,8,5,7,7,9,58,45,8
FRA,,Frédéric Véroul,Verlhac Aubin Véroul,C N VASSIVIERE / C N VASSIVIERE,6,8,9,8,9,6,8,54,45,9
FRA,,Jacques Dechauffour,Sabine Dechauffour,ASNQ / ASNQ,UFD 13,10,DNC 13,RET 13,10,4,7,70,57,10
FRA,,Raphael Trouillet,Anaïs Dechauffour,BTVD / ASNQ,UFD 13,11,10,10,11,10,11,76,63,11
FRA,,Elisabeth Neidhart,Arthur Radier,Y C ILE DE FRANCE / ASPTT LA ROCHELLE,DNC 13,DNC 13,DNC 13,DNC 13,DNC 13,DNC 13,DNC 13,91,78,DNA 
