Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Brutto,Netto,Place
FRA,9220,Philippe Boite,Arthur Radier,CVSQ / ASPTT LA ROCHELLE,2,1,1,4,4,1
FRA,,Muriel Jeanne,Franck Agrapart,C N HAUTE SEINE / C N HAUTE SEINE,1,4,3,8,8,2
FRA,,Gilles Chapelin,Eric le Morvan,C V BORDEAUX C M / ASPTT TROYES VOILE,4,3,2,9,9,3
FRA,9219,Elisabeth Neidhart,Thibault Di Pède,Y C ILE DE FRANCE / C V SEINE-PORT,5,2,9,16,16,4
BEL,,Cédric Crets,Lionel Lambert,,3,7,6,16,16,5
BEK,,Kim Van Assche,Tessa Liebens,,7,8,4,19,19,6
FRA,,Frédéric Véroul,Verlhac Aubin Véroul,C N VASSIVIERE / C N VASSIVIERE,9,5,5,19,19,7
FRA,,Serge Gubri,Thivillier Romain,C V SEINE-PORT / AEPA SECTION VOILE,6,6,8,20,20,8
BEL,,Goremans Pierre,Näkkäläjärvi Inka,,8,11,7,26,26,9
FRA,9150,Valentin Dechauffour,Pierre Gendry,ASNQ / S N O NANTES,10,9,10,29,29,10
FRA,9010,Gilles Carvallo,Patrick Gateau,C N HAUTE SEINE / CVLO .,12,10,11,33,33,11
FRA,,Sebastien Brignone,Pauline Serrad,ASPTT TROYES VOILE / ASPTT TROYES VOILE,11,12,12,35,35,12
FRA,,Philippe Lucienne,Vivien Lucienne,S.R.C. Sud-Oise / S.R.C. Sud-Oise,DNF 16,DNF 16,DNF 16,48,48,DNA 
FRA,,Plumey Alain,Huez Remi,ASPTT TROYES VOILE / ASPTT TROYES VOILE,DNF 16,DNF 16,DNF 16,48,48,DNA 
FRA,,Bastian le Morvan,Garnerin Gilles,ASPTT TROYES VOILE / ASPTT TROYES VOILE,DNF 16,DNF 16,DNF 16,48,48,DNA 
