USA,nal,race results:,,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Race 12,Race 13,Race 14,Race 15,Score,Place
USA,8559,Paul von Grey,Scott/Larry,,-4,-3,1,1,3,-4,1,2,1,1,1,2,2,3,2,20,1
USA,4019,Paul Shipley,Rebecca/Dick,,-3,1,-4,-3,1,1,3,3,3,2,3,1,1,1,3,23,2
USA,8548,Peter Tuck,Stewart,,2,2,3,2,2,2,-4,-4,4,3,2,(dnf),3,2,1,28,3
USA,6291,Tim Moser,Jason Clark,,1,4,5,5,4,5,2,2,1,(dns),(dns),(dns),dns,dns,dns,48,4
USA,7182,Paul Pihl,Craig Cammock,,(dns),(dns),2,4,5,3,5,5,5,(dns),dns,dns,dns,dns,dns,59,5
