Nation,Sail #,Helm,Crew,,1,2,3,4,5,6,Total,Position
USA,8083,Neal Fowler,Dave Dyson,,1,1,1,1,1,1,6,1
USA,8643,Barney Harris,Byron,,2,2,3,2,2,2,13,2
USA,8012,Henry Amthor,Doug Amthor,,3,3,2,4,5,3,20,3
CAN,8194,Tom Kivney,Todd Johnson,,4,4,4,5,6,4,27,4
USA,8024,Dave Chatham,Junge,,6,5,7,3,3,7,31,5
USA,9*,Andrew Crocker,Chris Tackas,,5,6,6,10,4,8,39,6
USA,6985,Breton,Breton,,12,7,8,7,8,5,47,7
USA,8311,Chris Yindra,Chris McCarthy,,12,8,5,6,10,9,50,8
USA,7839,Ferrarone,Ferrarone,,7,9,9,9,9,11,54,9
USA,8013,Dave Smith,Rick Thompson,,12,12,12,8,7,6,57,10
USA,7876,Steve Lieberman,Josh Lieberman,,12,10,10,11,11,10,64,11
