Nation,SailNo,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Tally,Nett,Rank
GBR,8882,Ian Pinnell,Carl Gibbon,H I S C,1,1,31*,1,1,11,4,1
GBR,8881,Terry Scutcher,Christian Diebitsch,SHOTLEY,2,2,2,3,4*,18,9,2
GBR,8835,Charles Walters,Dougal Cram,DATCHETT,3,3,4,5*,2,28,12,3
GBR,8935,Russell Short,Andrew Short,ROTHERHAM,6,5,1,9*,6,14,18,4
GBR,8905,Stuart Turnbull,Jason Lunn,RYA,5,4,6*,6,3,12,18,5
GBR,8685,Richard Simms,Simon Wood,CARSINGTON,8,7,10,7,12*,13,32,6
GBR,8701,Rob Napier,Alistair Ramsden,BOWMOOR,4,17,5,31*,8,2,34,7
GBR,8780,Jack Hayhurst,Adrian Coates,CARSINGTON,12*,11,9,4,11,20,35,8
GBR,8774,John Webster,Nick Thompson,CARSINGTON,10,6,11*,11,10,24,37,9
GBR,8909,Chris Dando,Donald Sloan,STONE,31*,31,3,2,5,9,41,10
IRL,8514,Peter Scannell,Rob O'reilly,MONKSTOWN BAY,18,20*,8,13,7,4,46,11
GBR,8906,Harry Briddon,Simon Briddon,CARSINGTON,9,8,18*,14,16,7,47,12
IRL,8408,Ewen Barry,Charles Dwyer,MONKSTOWN BAY,11,9,14,16*,15,15,49,13
GBR,8331,Richard Lord,Alex Cull,SEAHORSE,14,10,12,19*,14,29,50,14
GBR,8885,Ben Iliffe,Simon Lake,RYA,7,13,17*,15,17,8,52,15
GBR,8497,Arthur George,Dennis Cartwright,BURTON,22*,14,16,10,18,6,58,16
GBR,8694,Ross Kenney,Adam Kenney,BURTON,31*,31,7,12,9,5,59,17
GBR,8591,David Bell,Pete Ward,BURTON,21,31*,19,8,13,25,61,18
GBR,8474,Chris Thorne,Mike Priddle,PORTISHEAD,15,12,20,17,24*,27,64,19
GBR,8749,Alastair Milton,Charles Milton,HELENSBURGH,19,16,13,20*,19,22,67,20
IRL,8542,Ronan Kenneally,Richard Barter,MONKSTOWN BAY,16,18,15,21,22*,3,70,21
GBR,8532,Gregg Brown,Ollie Boyes,SOUTHWOLD,13,15,24,26*,21,23,73,22
IRL,8429,Michael Ennis,Fenton Parsons,RNIYC,17,19,23*,23,23,21,82,23
IRL,8552,Michael O'brien,John O'Gorman,MONKSTOWN BAY,20,31*,21,24,25,16,90,24
GBR,8907,Jim Berry,David Barnes,PORTISHEAD,23,31*,22,25,20,1,90,25
GBR,7852,Brian Jones,Gary Frost,MONKSTOWN BAY,25,31*,27,22,26,17,100,26
GBR,8678,Tom Clayton,Lawrence Milton,SHOTLEY,24,31*,26,28,28,10,106,27
GBR,8860,Kevin Holden,Tony Merry,TEES &amp; HARTLEPOOL,31*,31,25,27,27,19,110,28
IRL,888*,Colin Barry,Tim O'Connor,MONKSTOWN BAY,31*,31,31,18,31,26,111,29
GBR,8690,Will Pascall,Nathaniel Reed,SOUTH WOLD SC,31*,31,31,31,31,30,124,30
