Nation,Sail #,Skipper,,Club,5/26 R1,5/26 R2,6/23 R1,6/23 R2,Boat Name,Total,Score,Place
USA,8792,Carol Buchan,,CYC,2,1,4.0 DNC,3.0 DNC,Yellow Jacket,10,10,1st
USA,8815,Fritz Lanzinger,,CYC,1,2,4.0 DNC,3.0 DNC,,10,10,2nd
USA,8960,Bruce Van Deventer,,CYC,4,5,1,3.0 DNC,Time Machine,13,13,3rd
USA,7153,Colin Dunphy,,CYC,3,6,4.0 DNC,3.0 DNC,Crunchy Vegetables,16,16,4th
USA,8824,Jennifer Morgan Glass,,SYC,7.0 DNC,3,4.0 DNC,3.0 DNC,Black Betty,17,17,5th
USA,8823,Mats Elf,,CYC,7.0 DNC,4,4.0 DNC,3.0 DNC,,18,18,6th
USA,7610,Christopher Hubbard,,CYC,7.0 DNC,9.0 DNC,2,1,Bugbear,19,19,7th
USA,7039,Bob Conrad,Alexia Fischer,CYC,5,7,4.0 DNC,3.0 DNC,Dog Lips,19,19,8th
USA,6983,Joshua May,,CYC,7.0 DNC,9.0 DNC,4.0 DNC,3.0 DNC,Trogdor,23,23,9th
USA,8439,Anne Fitzpatrick,,CYC,7.0 DNC,9.0 DNC,4.0 DNC,3.0 DNC,Yes Dear!,23,23,9th
USA,7206,Dan Kaseler,,CYC,7.0 DNC,9.0 DNC,4.0 DNC,3.0 DNC,Watery Tart,23,23,9th
USA,8631,Tom Crawford,,CYC,7.0 DNC,9.0 DNC,4.0 DNC,3.0 DNC,,23,23,9th
