Nation,Sail  ,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Total,Pos
USA,9005,Thomas Kivney   ,Gordon Russell,,[7]  ,2,1,1,4,1
USA,8930,Duane Delfosse   ,,,2,[4]  ,2,2,6,2
USA,8851,Ted Huebner   ,,,3,1,3,[12/DNC]  ,7,3
USA,8641,Nicholas Burke   ,,,1,3,[4]  ,4,8,4
USA,8018,Alexander Tong   ,,,5,5,[6]  ,3,13,5
USA,8939,Gareth Fletcher   ,,,6,6,5,[12/DNC]  ,17,6
USA,6985,Michael Breton   ,,,4,8,[12/DNC]  ,12/DNC  ,24,7
USA,8261,Mark Linker   ,,,8,7,[12/DNC]  ,12/DNC  ,27,8
USA,8830,Mark Zagol   ,,,[12/DNC]  ,9,12/DNC  ,12/DNC  ,33,9
