Nation,Sail #,Skipper,,Club,R 1,R 2,R 3,R 4,R 5,R 6,R 7,R 8,R9,R10,Total,Boat Name,Score,Place
USA,8792,Carol Buchan,,CYC,1,1,1,1,(4.0),1,2,4,1,2,18,Yellow Jacket,14,1
USA,8823,Mats Elf,,CYC,2,2,2,2,1,2,(3.0),2,2,1,19,Good Times:-),16,2
USA,8616,Lee Laney,,BYC,4,5,5,3,2,3,(6.0),6,6,3,43,Miami Vise,37,3
USA,7206,Dan Kaseler,,PMYC,3,(7.0),4,4,3,4,5,7,5,4,46,Watery Tart,39,4
USA,7153,Colin Dunphy,,CYC,5,3,6,6,5,5,(9.0),5,4,5.0 DNF,53,Crunchy Vegetables,44,5
USA,8631,Courtney Starks,,CYC,8,8,3,5,6,7,8,(10.0),8.0 DNC,5.0 DNF,68,FB,58,6
USA,8439,Anne Fitzpatrick,,CYC,6,4,8,7,8,6,(10.0),9,7.0 DNF,6.0 DNC,71,Yes Dear!,61,7
USA,9116,Katherine Long,,,7,6,(9.0),9,9,8,7,8,7.0 DNF,6.0 DNC,76,The Great Pumpkin,67,8
USA,8815,Dalton Bergen,,CYC,(11.0 DNC),11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,1,1,7.0 DNF,6.0 DNC,81,,70,9
USA,8824,Jennifer Glass,,SYC,(11.0 DNC),11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,4,3,3,6.0 DNC,82,Black Betty,71,10
USA,7095,Elsa Balton,,PMYC/BYC,9,9,7,8,7,9,(11.0),11.0 DNF,8.0 DNC,6.0 DNC,85,Rigel,74,11
USA,7039,Alexia Fischer,,CYC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,(13.0 DNC),12.0 DNC,8.0 DNC,6.0 DNC,105,Dog Lips,92,12
