Country,Sail No,Skipper,,Club,R6-Apr 21,R7-Apr 21,R8 -Apr 28,R9 -Apr 28,R11 -May 5,R12 -May 5,Boat Name,Points,Place
USA,8577,Bruce Van Deventer,,,1,2,2,2,1,2,Plum Crazy,8,1
USA,8616,John Rahn,,CYC,DNF,1,1,1,DNC,DNC,Ardent,9,2
USA,6203,Dan Ginther,,,DNC,DNC,3,3,2,1,Punishment Pony,12,3
USA,6808,Anthony Dezida,,CYC,DNC,DNC,DNC,DNC,DNF,3,Bordo Bay,18,4
USA,8815,Fritz Lanzinger,,CYC,DNC,DNC,DNC,DNC,DNC,DNC,Lanzinger,21,5
USA,8647,Don Henry,,CYC,DNC,DNC,DNC,DNC,DNC,DNC,Liberator,21,5
USA,4088,Seth J Goldenberg,,CYC,DNC,DNC,DNC,DNC,DNC,DNC,(goldenberg),21,5
