Nation,Sail,Skipper,,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat,Total,Pos
USA,9106,Mike Martin,Adam Lowry,StFYC / NHYC/,2,1,1,[5],1,1,Mike's Boat,6,1
USA,9080,Howie Hamlin,Andy Zinn,NHYC / ABYC/,3,2,[5],2,2,2,Nauti Buoys,11,2
USA,9115,Mike Holt,Rob Woelfel,Santa Cruz YC/,1,3,3,7,3,[13],IO Integration,17,3
USA,9082,Jeff Miller,Pat Diola,Santa Cruz YC/,[8],5,2,3,6,3,Miracle,19,4
USA,8714,Adam Roberts,Jeff Nelson,SDYC/,4,6,[8],1,5,4,,20,5
USA,714*,Parker Shinn,Reeve Dunn,SDYC/,5,4,4,4,4,[7],,21,6
USA,9073,Bruce Edwards,Eric Anderson,StFYC/,6,[15/DNF],6,8,9,5,Dog n Pony Rides Again,34,7
USA,9042,JB Turney,Tommy Fink,StFYC/,7,7,9,6,7,[10],Stimulus Package,36,8
USA,8823,Mats Elf,Brent Campbell,CYC Seattle/,9,10,7,9,8,[11],Good Times,43,9
USA,106*,David Meleney,Blaine Pedlow,StFYC/,[11],8,10,11,10,6,,45,10
USA,8680,Douglas Hagan,Paul Von Grey,Paia Bay/,[13],9,11,10,12,9,Ye Old Dog,51,11
USA,908*,Antoine Laussu,Xavier Broise,SKIPPER PSSA/,10,11,[13],12,11,8,,52,12
USA,9083,Aaron Ross,Rob Waterman,Santa Cruz Yacht Club/,12,12,12,14,14,[15/DNF],Cosmic Thing,64,13
USA,8931,Dan Esdorn,Ashley Lyon,StFYC/,[15/DNC],15/DNC,15/DNC,13,13,12,,68,14
