Pos,Sail,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Total Points,Pos
USA,9003,Jesse Falsone,Chris Behm,Severn Sailing Association,1,1,1,1,4.00,1
USA,7200,Michael Coe,Ali Meller,Severn Sailing Association,2,4,2,4,12.00,2
USA,8919,Bryan Richardson,Dan Wittig,Severn Sailing Association,3,6,4,2,15.00,3
USA,8766,Lauren Schoene,Travis Tucker,Severn Sailing Association,4,3,3,5,15.00,4
USA,7199,Stergios Papadakis,John Papadakis,Severn Sailing Association,5,5,5,10/DNC,25.00,5
USA,7359,Catherine Brady,Christopher Brady,Severn Sailing Association,6,2,10/DNC,10/DNC,28.00,6
USA,7197,David Neal,Ben unknown last name,Severn Sailing Association,7,7,6,10/DNC,30.00,7
USA,8244,Paul Andron,Bill Bramble,Severn Sailing Association,8,8,10/DNC,6,32.00,8
USA,7606,Brendan Connell,Ross unknown last name,Severn Sailing Association,10/DNC,10/DNC,10/DNC,3,33.00,9
