Nation,Sail  ,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat  ,Total,Pos
USA,9106,Mike Martin   ,Adam Lowry,StFYC  ,1,1,1,3,4,1,Mike's Boat  ,11,1
USA,9080,Howard Hamlin,Andy Zinn,NHYC / ABYC  ,2,2,2,4,2,3,The Flying Hamzinn  ,15,2
USA,9115,Mike Holt   ,Rob Woelfel,Santa Cruz YC  ,6,3,3,2,1,2,IO Integration  ,17,3
USA,9009,Stephen Bourdow,Mark Christensen/Nick Adamson,Scyc  ,5,5,10/DNF  ,1,3,4,  ,28,4
USA,9082,Jeff Miller   ,Pat Diola,SCYC  ,3,6,4,10/DNF  ,10/DNF  ,10/DNF  ,Miracle  ,43T  ,5
USA,8554,Parker Shinn   ,Reeve Dunne,SDYC  ,4,4,5,10/DNF  ,10/DNF  ,10/DNF  ,  ,43T  ,6
USA,8084,Aaron Ross   ,Rob Waterman,Santa Cruz Yacht Club  ,7,7,6,10/DNF  ,10/DNF  ,10/DNF  ,Rob's Old Boat  ,50,7
USA,8937,Tim Murphy   ,Matt Merchant,TISC  ,8,8,7,10/DNF  ,10/DNF  ,10/DNF  ,  ,53,8
USA,7877,Steve Anderes   ,,SA  ,10/DNS  ,9,10/DNF  ,10/DNF  ,10/DNF  ,10/DNF  ,Alien  ,59,9
