Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Platzierungen 7,Platzierungen 8,Punkte,Pl.
GER,9102,Meike Schomäker,Holger Jess,ZSK,5,4,2,1,7,4,2,1,,1
GER,8875,Jens Findel,Johannes Tellen,KYC,3,6,5,5,2,5,1,3,,2
GER,9090,Christian Kellner,Martin Schöler,HSC,1,2,1,2,OCS,2,OCS,4,,3
GER,9112,Morten Bogacki,Lars Dehne,DYC,6,1,3,6,17,1,15,2,,4
GER,9035,Stefan Böhm,Gerald Roos,SCV,11,3,8,7,1,3,OCS,5,,5
GER,9070,Stefan Köchlin,Andreas Achterberg,SKF,2,7,4,OCS,3,7,9,6,,6
FRA,9075,Philippe Boite,Erwan Grossmann,CVM,4,5,7,4,6,6,6,10,,7
SUI,8954,Caroline Jacot,Philippe Jacot,CVN,8,8,6,3,4,8,3,7,,8
SUI,8569,Rene Betschen,Lionel Hollinger,CNB,7,14,10,14,8,15,4,8,,9
GER,8928,Stephan Schweiger,Thorsten Koch,SCLW,10,9,9,11,10,9,7,15,,10
SUI,8954,Marti Ueli,Philippe Jacot,CVN,16,11,12,10,16,10,5,13,,11
RSA,8481,Peter Funke,Thomas Funke,T YC,14,16,11,9,5,13,DNC,12,,12
GER,9059,Moritz Bohnenberger,Sebastian Salein,DTYC,9,10,DSQ,12,12,16,14,11,,13
RSA,8471,Alexander Ham,Warwick Ham,,15,15,13,16,14,11,8,9,,14
AUS,9028,Earle Alexander,Nick Alexander,RQYS,12,13,15,15,9,12,10,14,,15
GER,8988,Jens Olbrysch,Oliver Thies,HSC,13,12,14,8,13,17,DNC,DNC,,16
SUI,9060,Catherine Houriet,Gil Donze,,18,18,16,13,11,20,12,16,,17
GER,8672,Karsten Contag,Guido von Walter,SCLW,17,17,17,18,15,14,11,18,,18
GER,9101,Helen Fischer,Nikolaus Witty,BYC,DNC,DNC,DNC,DNC,18,18,13,17,,19
ITA,8743,Massimiliano Ajroldi,Marco Giraldi,,19,DNF,DNC,17,OCS,19,DNC,DNC,,20
