Nation,Boat NO,Helm,Crew,Club,Race 1,Points,Place
FIN,9069,Hamstrom Jari,Laurila Tuomas,,,,1
ITA,8916,Ciferri Enrico,Natali Gabriele,,,,2
RSA,8486,FThomas Funke,,,,,3
SUI,9060,Houriet Catherine,Donze Gil,,,,4
GER,9059,Moritz Bohnenberger,,,,,5
GER,8988,Jens Olbrysch,Thies Oliver,,,,6
RSA,8719,Alexander Ham,,,,,7
SUI,8961,Toni Utiger,,,,,8
AUT,8921,Martin Schmidt,,,,,9
