Nation,ID,SKIPPER,,BOAT NAME,RACE 1,RACE 2,RACE 3,TOTAL,POS
USA,8627,Collins,,The Pump,3,1,5,9,1
USA,7068,Ferrarone,,,7,2,6,15,2
USA,8629,Moore,,Ty One On,1,14 DSQ,1,16,3
USA,8013,Smith,,,5,14 DSQ,2,21,4
USA,8194,Thomas Kivney,,Katie Bean,6,14 DSQ,3,23,5
USA,8778,Darryl Dietz,,Nuke,10,14 DSQ,4,28,6
USA,8012,Amthor,,,2,14 DNC,14 DNC,30,7
USA,7358,Matt Sovis,,,9,14 DSQ,7,30,8
USA,8576,Andy Herlihy,,,4,14 DSQ,14 DSQ,32,9
USA,8689,Nicholas Grey,,,8,14 DSQ,14 DSQ,36,10
USA,8737,Tom Hurwitch,,,11,14 DSQ,14 DNC,39,11
USA,8766,Frank Maldari,,,12,14 DNC,14 DNC,40,12
USA,8311,Chris Yindra,,,14 DNF,14 DSQ,14 DNC,42,13
