Nation,Boat NO,Driver,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total after drop,Pos.
USA,8012,Henry Amthor,Douglas Amthor,,2,2,3,1,2,2,2,11,1
USA,8722,Macy Nelson,Allan Freedman,,1,3,4,2,4,1,3,14,2
USA,8643,Barney Harris,Clayton James,,4,1,2,4,3,OCS,1,15,3
USA,,Steve Sparkman/Ali Meller,Cameron Sutton,,3,4,1,3,1,3,4,15,4
USA,6985,Dylan Breton,Mike Breton,,5,5,DNF,5,6,5,5,30,5
USA,,Dustin Romey,Fiona Lockwood,,6,6,5,6,5,4,6,32,6
USA,,Greg Schuster,,,DNF,7,DNF,DNS,DNF,DNF,7,46,7
USA,8629,Tyler Moore,,,DNS,DNS,DNS,DNS,DNS,DNS,DNS,56,DNA
USA,7346,John Hauser,,,DNS,DNS,DNS,DNS,DNS,DNS,DNS,56,DNA
