Nation,Boat NO,SKIPPER,CREW,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total Points,Drop,Netto,Place
USA,7685,Alexander,Koenig,,1,3*,1,2,1,1,1,1,11,3,8,1
USA,8600,Kaiser,Badtke,,3,2,3,1,2,2,3,5*,23,5,18,2
CAN,7605,Renka Gesing,Adam Gesing,,2,1,2,4,6,9*,4,4,32,9,23,3
USA,7061,Jason Breeden,Angela Breeden,,4,4,5,3,5,5,7,11*,48,11,37,4
USA,8624,David Stetson,Stetson,,5,6,7,DNS 11*,DNS 11,4,2,3,49,11,38,5
USA,7347,Terman,Gille,,DNS 11*,8,6,5,4,3,8,8,53,11,42,6
USA,7793,Seiple, ,,6,7,8,7,3,6,9*,6,52,9,43,7
USA,8073,Katherine Long,Stephen Long,,DNS 11*,5,4,DNF 11,DNS 11,7,6,2,55,11,44,8
USA,8011,Chad Price,Carolyn Price,,7,DNS 11*,9,6,DNS 11,8,5,7,64,11,53,9
USA,6660,Cashman,Korver,,DNS 11*,DNS 11,DNS 11,DNS 11,DNS 11,10,10,11,86,11,75,10
