Nation,Bow/Sail,Skipper,Crew,Club,Race 1,Race 2,Race 3,Total Points,Pos
USA,8263,Alon Finkelstein,,,1,2,1,4.0,1
USA,6987,Lauren Abramson,,,2,1,2,5.0,2
USA,7346,John Hauser,,,5,3,3,11.0,3
USA,7776,Robert O'Brien,,,3,5,5,13.0,4
USA,7092,Dustin Romey,,,7,4,4,15.0,5
USA,8610,Steve Cherry,,,4,7,9/DNC,20.0,6
USA,7873,Macy Nelson,,,6,6,9/DNC,21.0,7
USA,7876,Steve Lieberman,,,9/DNF,9/DNC,9/DNC,27.0,8
