Pos,Bow/Sail,Skipper,,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total Points,Pos
USA,8722,Jesse Falsone,,,2,1,2,1,3,1,10.0,1
USA,8018,Alon Finkelstein,,,4,2,5,2,1,2,16.0,2
USA,6987,Lauren Abramson,,,1,3,4,6,5,6,25.0,3
USA,7346,John Hauser,,,3,4,15/DNC,3,2,3,30.0,4
CAN,7150,Ian Torrie,,,7,5,1,8,7,8,36.0,5
USA,7199,Michael Albert,,,5,9,7,5,6,5,37.0,6
USA,7092,Kevin Mehaffey,,,8,10,3,7,4,7,39.0,7
USA,6717,Bonney Harris,,,6,6,9,10,9,4,44.0,8
USA,7776,Robert O'Brien,,,9,7,10,4,8,15/DNC,53.0,9
USA,8778,Darryl Dietz,,,10,8,6,9,11,15/DNC,59.0,10
USA,7876,Steve Lieberman,,,11,12,8,11,10,9,61.0,11
USA,629,Greg Schuster,,,14,13,12,12,13,10,74.0,12
USA,7151,Dina Temple-Raston,,,13,14,13,13,12,11,76.0,13
USA,8263,Tom Sitzman,,,12,11,11,15/DNC,15/DNC,15/DNC,79.0,14
