Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Ponts,Place
USA,8548,Peter Tuck,,,3,2,2,1,1,6,1
USA,7610,Cynthia Des Brisay,,,6,1,1,2,2,6,2
USA,8192,John Hayley,,,1,3,3,3,3,10,3
CAN,7959,Andrew Allan,,,5,5,4,4,5,18,4
USA,7096,Allan Staley,,,13,4,5,5,6,20,5
USA,8559,J. Douglas Jensen,,,4,7,dnf,7,7,25,6
USA,8411,Paul Von Grey,,,2,dnf,dnf,6,4,29,7
USA,610*,Brian Trainor,,,8,6,dnf,8,9,31,8
USA,8191,Stuart Sinclair,,,9,dnf,dns,dnf,8,51,9
USA,9096,Mary Vidas,,,11,dnf,dns,dns,10,55,10
USA,6309,Sue Athmann,,,14,8,dns,dns,dns,56,11
USA,7182,Paul Pihl,,,7,dnf,dns,dnf,dns,58,12
USA,8081,Anthony Devita,,,10,dnf,dns,dnf,dns,61,13
USA,7300,Christopher Coleman,,,12,dnf,dns,dns,dns,63,14
USA,6932,,,,dnf,dnf,dns,dns,dns,68,15
