ation,Bow/Sail,Skipper,,,Race 1,Race 2,Race 3,Race 4,Race 5,Total Points,Pos
USA,8012,Henry Amthor,Barb Amthor,,1,1,1,1,1,5,1
USA,7200,Ali Meller/Ian Torrie,Dina Temple-Raston,,2,2,2,3,2,11,2
USA,8261,Bill Heintz,Laura Seuschek,,5,3,4,4,4,20,3
USA,7092,Jen Green,Dustin Romey,,4,4,8/DNC,2,3,21,4
USA,7346,John Hauser,Amy Boothe,,3,5,3,5,5,21,5
USA,7876,Steve Lieberman,Michaela Lieberman,,6,8/DNC,8/DNC,6,7,35,6
USA,7776,Bob O'Brien,Betsy O'Brien,,8/DNF,8/DNF,8/DNF,8/DNF,6,38,7
