Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points Netto,Place
GER,7955,Gunter Froese,Carl Riebe,EGSA,3,5,2,3,1,"12,4",1
GER,8002,Harald Busch,Peter Micke,SCAS,4,1,3,2,10,"18,5",2
GER,8*,Stefan Lange,Holger Jess,WSCH,2,7,4,[10],8,"24,4",3
GER,8163,Stefan Pavel,Martin Bernauer,RSVW,9,[15],10,1,9,33,4
GER,8118,Stefan Schollmayer,Martin Eckel,SCASp,[16],8,11,8,7,"35,6",5
GER,8032,Jörn Erdmann,Bernd Meier,SYYS,18,2,5,11,[24],"38,5",6
GER,8109,Bernd Kowalzig,Claus Tiedemann,SCBalt.,10,4,1,7,18,39,7
GER,8114,Gerd Engel,A.Strowitzki,YCSS,5,17,12,4,16,46,8
SUI,8003,Werner Müller,Harrer Daguar,YCZug,7,12,[23],15,3,"46,9",9
GER,7451,Ewald Brzoska,Hanno Barth,YCHesel,1,[18],19,13,2,"47,8",10
GER,8075,Hauke Rathjens,Frank Uhlemann,KYC,13,3,6,14,12,"47,9",11
GER,7860,Christof Becker,Tim Böger,KYC,[19],6,7,12,4,"49,3",12
GER,7732,Dirk Kuhnhenn,Till Reckert,YCHsee,11,14,13,6,6,50,13
GER,7354,Harald Wolff,Michael Latz,YCSB,14,[20],14,5,20,"53,4",14
GER,8128,Hartwig Friederichs,Jens Weishaupt,KTC,26,9,8,9,[33],70,15
GER,7924,Roland Wiedemann,Wolfgang Hofseister,VF,6,[23],20,23,14,74,16
GER,7927,Brigitte Preuss,Rolf Bertenrath,OSC1,15,[19],16,17,15,76,17
GER,8166,Rudolf Baalmann,Ulrike Janßen,VSV-8.,17,13,15,[22],13,80,18
GER,7930,Christoph Hessel,Hans Hessel,SVOS,8,"[DNF 39,5]",19,19,19,83,19
GER,7765,Wolfgang Seifert,Manuela Seifert,SGR,22,24,26,24,11,89,20
GER,7957,Ralf-Joachim Stoll,Robert Wisolek,SCSaar,20,11,9,20,"[DNF 41,5]",92,21
GER,7778,Thomas Schmidt,Wolfgang Stückl,DTYC,12,25,"[DNF 38,5]",26,22,97,22
GER,6833,Ernst Poeckl,Karin Poeckl,SSC,29,"[DNF 39,5]",31,16,5,107,23
GER,7970,Kai Löblein,Thomas Rupp,YCHO,[32],10,22,18,30,110,24
GER,7764,Peter Daferner,Verner Gaertner,SGR,25,16,21,25,[27],111,25
GER,8121,Dieter Cordes,Silvia Cordes,CDKA,26,21,24,21,17,111,26
GER,5779,Jörg Hinnen,Jonny Norder,BCWN,23,30,[36],31,23,114,27
GER,7649,Matthias Kuchinke,Axel Seemann,TSV-S.,21,26,25,29,[34],128,28
GER,6685,Thomas Zager,Andreas Kleist,BSV,30,22,17,28,31,128,29
GER,7760,Hans-Albert Noeldeke,Anette Leiser,SVE/J,27,"[DNF 39,5]",30,36,26,139,30
GER,7854,Klaus Eifler,Christian Voggeser,SUPB,24,27,29,[DNF 40],32,140,31
GER,7292,Günter Kerkloh,Wilde Roland,SVOS,33,31,28,27,28,147,32
GER,7856,Helmut Spiske,Kurt Motzet,SGR,34,"[DNF 39,5]",38,38,25,156,33
GER,7549,Engelbert Theban,Annette Keyerhoff,BORSC,35,28,[DNS 43],32,36,156,34
GER,8150,Werner Lange,Oliver Lange,DHH,[36],36,27,30,35,161,35
GER,7037,Mechthild Bruns,Claus Bornhorst,TSV-S.,[41],35,33,35,29,166,36
GER,7587,Walter Kolm,Jörg Huth,BCHN,[38],32,34,37,37,169,37
GER,7444,Achia Funk,Friedrich Funk,SVFB,31,34,35,[39],39,174,38
GER,7443,Anton Hölscher,Frank Hölscher,BCWN,39,33,32,34,38,176,39
GER,7702,Christian Müllejans,Christine Kossa,SVU,40,"[DNF 39,5]",[DNS 43],[DNS 43],21,"178,5",40
GER,7745,Fritz Sobott,Thomas Sobott,BCHA,37,29,[DNS 43],33,40,180,41
GER,7645,Michael Schwaiger,Wolfgang Schorre,,42,"[DNF 39,5]",37,[DNF 40],41,196,42
