Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points Total,Place
DEN,8108,Jørgen Holm-Nielsen,Finn Jensen,AYC,1,1,6,3,"17,4",1
GER,8032,Jörn Erdmann,Sven Harder,SVWS,3,3,3,6,"25,1",2
DEN,8031,Lars Christensen,Jan Feddersen,,4,14,2,1,31,3
DEN,8030,Bo Petersen,Søren Storm,AYC,2,7,7,2,32,4
DEN,7934,Sten Skorsgaard,Morten Storgaard,SBK,5,23,1,6,"50,7",5
GER,8106,Torsten Roeder,Sven Ebeling,RTGW,6,2,15,13,"54,7",6
DEN,8144,Lars Bøjvad-Jansen,Martin Olsen,AYC,13,12,4,4,62,7
DEN,8020,Jacob Bojsen-Møller,Anders Kæmpe,HSK,15,8,8,7,62,8
GER,8075,Hauke Rathjens,Frank Uhlemann,KYC,21,4,18,9,74,9
DEN,7915,Jakob Thomasen,Jeppe Rasmussen,KDY,12,30,5,11,81,10
GER,7597,Carl-Peter Forster,Anselm Bracht,BYC,8,49,12,18,81,11
GER,8219,Carsten Hammer,Rolf Meier,TSVS,7,27,13,12,83,12
GER,7860,Christof Becker,Tim Böger,KYC,16,26,10,14,90,13
GER,8128,Hartwig Friederichs,Jens Jensen,KYC,20,17,20,10,91,14
DEN,8056,Mikkel Storgaard,Anders Frimodt-Møller,SKS,11,44,9,15,103,15
GER,8002,Harald Busch,Peter Micke,SCMS,9,37,17,17,104,16
GER,7589,Adalbert Kluck,Gerhard Schmidt,TSVS,10,25,22,24,105,17
SWE,7591,Peter Stenquist,Johan Stenquist,GKSS,26,5,33,19,106,18
DEN,7882,Thomas D. Albrechtsen,Morten Jakobsen,HSK,14,22,26,23,109,19
GER,7781,Andreas Thomsen,Reinhard Schultz,RVE,28,29,14,16,111,20
SWE,8116,Björn Fagerström,Thomas Rahm,GKSS,17,6,57,8,"111,7",21
GER,7927,Brigitte Preuß,Rolf Bertenrath,DSCU,32,15,16,38,125,22
GER,7970,Kai Löblein,Thomas Rupp,YCHo,34,11,37,26,132,23
GER,7451,Ewald Brzoska,Hanno Barth,YCW,27,13,38,30,132,24
GER,7963,Wolfgang Wilde,Oliver Wirz,DHH,22,39,23,25,133,25
GER,8*,Rudolf Baalmann,Ulrike Janßen,WSVB,19,36,25,31,135,26
GER,7855,Jens-Peter Schlomka,Norman Schlomka,TSVS,30,24,35,22,135,27
GER,7127,Jörn Kinzel,Ulf Geisler,SCO,41,9,29,36,139,28
GER,8121,Dieter Cordes,Marcus Cordes,CKA,37,10,41,29,141,29
GER,7957,Ralf-Joachim Stoll,Roaan Summerling,,25,18,43,32,142,30
GER,8127,Jürgen Eigenbrod,Kai Jeschke,RSVW,23,43,21,34,145,31
GER,7785,Stefan Pavel,Martin Bernauer,RSVW,33,33,27,28,145,32
DEN,7820,Jan Kjaerback,Claus Thybo,SSS,29,34,40,39,166,33
GER,7817,Heinz Balters,Dirk Dehncke,KYC,DNS,16,34,37,180,34
GER,7543,Heiko Heydelaann,Christian Heydelaann,SVMG,36,35,48,42,183,35
GER,8109,Bernd Kowalzig,Claus Tiedemann,SC3,YMP,41,11,DNS,186,36
GER,7747,Gernot Meyer,Jochen Bobbert,EKSG,39,PMS,28,27,187,37
GER,6611,Franco Weichel,Hasso Hoffmeister,MSC,DNF,21,31,43,188,38
DEN,7851,Lars Wille Jensen,Lau Wogelius,TSVS,YMP,28,30,40,191,39
GER,1*,Matthias Kuchinke,Hauke Drengenberg,TSVS,YMP,48,39,41,195,40
GER,7782,Andreas Beckmann,Wolfgang Pollex,RVE,PMS,DSQ,19,21,202,41
GER,7745,Fritz Sobott,Thomas Sobott,BCWN,46,46,49,44,203,42
GER,6685,Thomas Zager,Andreas Kleist,BSV,DNS,40,36,38,204,43
DEN,7902,Thomas Meisl,Morten E. Nielsen,SD,DNS,PMS,24,20,206,44
