,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,Total,Nett,Rank
RSA,8445,Kyle Klaas,R von Gruenewaldt,PSC,(4.0),1,1,1,2,2,11,7,1st
RSA,8520,Rudolph Holm,Ferdinand Holm,PSC,1,2,2,2,(3.0),3,13,10,2nd
RSA,8481,Peter Funke,Thomas Funke,PSC,2,3,(7.5),4,1,1,18.5,11,3rd
RSA,8789,Tony Murray,K Holtzhausen,PSC,3,4,5,5,(6.0),5,28,22,4th
RSA,6707,Bronwen Klaas,Scott Quarmby,PSC,5,5.5,4,(7.0),4,6,31.5,24.5,5th
RSA,7525,Eddie Forster,Dietmar Holm,PSC,(10.0 DNC),5.5,3,6,5,8,37.5,27.5,6th
RSA,8707,Albrecth Holm,Willem Buhrmann,PSC,(10.0 DNF),10.0 DNS,6,3,7,4,40,30,7th
RSA,8471,Alexander Ham,Justin Templeton,PSC,(10.0 DNF),7,9,8,8,7,49,39,8th
RSA,8584,Hans Rogotzki,Travis Shiels,PSC,6,(10.0 DNS),7.5,10.0 OCS,10.0 DNS,10.0 DNS,53.5,43.5,9th
