Country,Boat NO,Helm,Crew,Stat,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Score,Drop,Total,Position
AUS,7481,Dean Blatchford,Tom Woods,NSW,0,3,5.7,0,5.7,41,14.4,41,55.4,1
AUS,7936,G. Bruniges,,NSW,3,0,3,3,8,52,17,52,68,2
AUS,7977,Terry Kyrwood,,NSW,5.7,57,10,15,3,5.7,339.4,57,96.4,3
AUS,7336,L. Winter,,NSW,8,16,8,5.7,18,16,53.7,18,71.7,4
AUS,7503,Paul Remington,,NSW,13,22,0,14,23,8,57,23,80,5
AUS,7831,Stephen McConaghy,,NSW,21,13,17,13,15,0,58,21,79,6
AUS,7978,G. Kyrwood,,NSW,10,19,27,8,11.7,11.7,60.4,27,87.4,7
AUS,7935,P. Hewson,,NSW,56,11.7,13,11.7,0,38,64.4,56,120.4,2
AUS,7830,D. Porter,,NSW,11.7,8,14,20,16,24,69.7,24,93.7,9
AUS,7534,P. Darby,,NSW,23,14,23,16,13,15,81,23,104,10
AUS,7934,M. Soulsby,,SA,17,5.7,16,56,21,26,85.7,56,141.7,11
AUS,7828,R. Gallimore,,NSW,27,10,19,19,17,21,86,27,114,12
AUS,7406,A. Bessell,,SA,18,23,28,21,14,17,93,28,121,13
AUS,7901,M. Engert,,NSW,16,17,18,24,19,31,94,31,125,14
AUS,7285,P. Volkmer,,SA,34,29,20,18,27,3,97,34,131,15
AUS,7741,O. Shtein,,NSW,14,15,211,25,24,52,99,52,151,15
AUS,7737,Michael Quirk,,NSW,28,18,26,23,20,19,106,28,134,17
AUS,7513,D. Page,,NSW,26,25,24,36,29,10,114,36,150,18
AUS,7739,G. Engert,,NSW,56,20,11.7,40,10,52,133.7,56,189.7,10
AUS,7515,G. Gilmour,,SA,30,43,57,10,33,18,134,57,191,20
AUS,7332,I. Taylor,,NSW,29,32,25,28,22,30,134,32,166,21
AUS,7251,P. Williams,,NSW,22,40,15,38,25,52,140,42,182,22
AUS,7903,K. Williams,,NSW,25,27,32,31,31,33,146,33,179,23
AUS,7070,W. Carey,,SA,31,34,34,17,32,36,148,36,184,24
AUS,7353,C. Hansen,,SA,19,24,29,45,34,66,151,66,217,25
AUS,7517,G. Holden,,NSW,15,45,22,54,35,35,152,54,206,26
AUS,7253,O. Waller,,QLD,56,41,38,26,28,20,153,56,209,27
AUS,6820,D. Hale,,NSW,24,26,40,37,26,52,153,52,205,28
AUS,6467,R. Volkmer,,SA,20,30,36,30,40,66,156,66,222,29
AUS,6818,T. Timmerman,,SA,32,33,45,39,39,14,157,45,202,30
AUS,6209,B. Abbott,,VIC,56,46,30,29,46,13,164,56,220,31
AUS,7478,R. Walker,,SA,39,35,46,32,37,22,165,46,211,37
AUS,7329,D. Webber,,SA,33,37,35,33,38,27,165,38,203,33
AUS,6212,A. Wangel,,SA,56,48,41,22,36,53,170,56,226,34
AUS,7233,P. Pisters,,SA,56,36,31,42,30,37,176,56,232,35
AUS,7330,R. Badgery,,ACT,66,21,37,44,43,32,177,66,243,35
AUS,6819,D. Matthew,,NSW,41,28,47,27,42,40,178,47,225,37
AUS,7338,J. Marshall,,SA,36,31,39,41,41,52,188,52,240,38
AUS,7232,W.Summersides,,SA,35,50,42,46,44,34,201,50,251,39
AUS,7400,J. Rushton,,SA,37,49,43,34,49,39,202,49,251,40
AUS,6211,P. Stanley,,SA,56,38,50,43,45,29,205,56,261,41
AUS,7404,D. Milligan,,ACT,56,42,44,52,48,25,211,56,267,42
AUS,6344,P. Willoughby,,SA,40,57,48,48,50,43,229,57,286,43
AUS,7016,J. Kutek,,SA,56,44,57,65,66,38,230,66,296,44
AUS,5837,D. Anderson,,SA,56,47,49,49,47,44,236,56,292,45
AUS,6006,N. Fernback,,VIC,38,52,51,47,51,66,239,66,305,46
AUS,6764,P. Murfett,,SA,56,51,52,51,52,52,258,56,314,47
AUS,7531,C. Coulsen,,QLD,56,39,33,66,66,66,260,66,326,48
AUS,6706,R.O’Niell,,SA,56,54,53,50,55,66,268,66,334,49
AUS,6765,M. Woolmer,,QLD,56,53,57,53,66,52,271,66,337,50
