Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Place
GER,8806,Stengel Lutz,Feller Frank,ROYC ROYC,1,1,2,1,1,1,[24 OCS],1,8,1
GER,8962,Söllner Sophie,Matscherothbrodwurm Pia,CYC RCO,[24 OCS],2,1,7,3,4,2,2,21,2
GER,9040,Dasenbrook Norbert,Lanatovitz Arne,KSW/SKBUe SKBUe,4,5,[7],2,2,2,1,6,22,3
GER,8686,Niefert Christian,Dömges Sven,BSV 79,3,[24 OCS],5,5,6,3,3,3,28,4
GER,8657,Neulen Georg,Gerdts Peter,WYCA SVC,5,3,4,[8],4,8,7,8,39,5
GER,9015,Horstmann Batian,Wiechmann Jan,BSV BSV,6,[7],6,6,7,5,6,5,41,6
GER,9046,Friedrichs Hartwig,Geissler Ulf,WSCW,[24 DNS],4,9,4,8,7,5,7,44,7
GER,8825,Troch Michael,König Eckart,SGJ SGJ,2,[24 OCS],3,3,5,6,24 OCS,4,47,8
GER,8999,Stuempel Karsten,Stuempel Ute,HSC,8,8,8,10,10,9,[11],11,64,9
GER,8365,Lehmann Andreas,Hanke Robert,VSW VSW,9,12,12,11,[13],10,4,10,68,10
GER,8932,Henge Christian,Gieseler Reiner,OSG OSG,7,10,13,[14],12,11,9,14,76,11
GER,8500,Kühne Jens,Henge Katja,OSG OSG,14,[24 OCS],10,16,14,13,8,9,84,12
GER,8533,Bussenius Robert,Bussenius Roger,SCOH SCOH,11,14,[20],12,11,12,13,13,86,13
GER,8550,Hauschild Martha,Manko Franziska,SCS SCS,15,9,14,[17],17,15,10,12,92,14
GER,8721,Czeninga Daniel,Lietz Martin,FSV03,12,11,11,15,9,16,18,[24 DNS],92,15
GER,8531,Hauschild Anna,Kempermann Maxi,SCS,16,13,15,[19],16,14,14,19,107,16
GER,8392,Barop Konrad,Barteldt Dirk,NSV,10,15,17,[20],18,17,12,20,109,17
GER,8495,Ruhnau Iris,Peters Hein,SGJ SGJ,13,16,18,13,[RAF],20,15,16,111,18
GER,8528,Tirre Andre,Wilke Frank,ZSK ZSK,[24 OCS],6,16,9,15,24 DNF,24 DNS,18,112,19
GER,7764,Menge Katharina,Jaeschke Doreen,OSG SCN-W,17,18,[19],18,19,18,16,15,121,20
GER,8376,Wichtrup Peter,Frick Tobias,ZSK ZSK,18,17,[21],21,20,19,17,17,129,21
GER,9000,Wilts Enno,Heeschen Klaus,OSG OSG,[24 DNS],24 DNS,24 DNS,24 DNS,24 DNS,24 DNS,24 DNS,24 DNS,168,22
GER,8297,Tirre Mario,Stoffers Henning,ZSK ZSK,[24 DNS],24 DNS,24 DNS,24 DNS,24 DNS,24 DNS,24 DNS,24 DNS,168,22
