Boot,,Steuermann,Vorschoter,Club,Platzierungen,,,,,Punkte,Pl.
GER,8875,Jens Findel,Johannes Tellen,KYC,1,2,8,4,1,,1
GER,9059,Sophie Heyer,Sebastian Salein,JSC,5,1,6,1,3,,2
GER,9043,Nicola Birkner,Angela Stenger,SVaW,2,6,1,2,7,,3
GER,8929,Tom Gosch,Rolf Meyer,ENSFV,6,3,2,5,2,,4
GER,8806,Lutz Stengel,Frank Feller,ROYC,7,4,3,3,4,,5
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,3,9,19,6,5,,6
GER,9046,Hartwig Friedrichs,Antje Gosch,WSCW,16,11,7,8,8,,7
GER,88*,Christopher Jantz,Christian Eckart,SVSF,9,12,5,9,21,,8
GER,8651,Helen Fischer,Robert Rothe,BYC,4,15,18,7,11,,9
GER,8669,Peter Knauf,Sven Meding,SCR,13,14,11,10,6,,10
GER,9054,Oliver Thies,Lars Dehne,,12,8,16,11,9,,11
GER,9029,Jürgen Waldheim,Axel Priegann,PYC,10,10,14,12,10,,12
GER,8550,Martha Hauschild,Michael Heyder,SCS,8,7,13,16,15,,13
GER,8519,Thure Gnadeberg,Aron Tellen,BSV,OCS,5,4,OCS,12,,14
GER,8365,Andreas Lehmann,Robert Hanke,VsAW,20,19,12,13,16,,15
POL,8451,Bartosz Makała,Łukasz Skrzycki,YKSG,19,17,15,14,18,,16
POL,8416,Jarosław Grabowski,Piotr Juckiewicz,YKSG,14,14,16,16,22,,17
GER,6786,Hendrik Reinhardt,Axel Schult,SVSF,15,18,21,18,17,,18
GER,6817,Ralf Schneidewind,Oliver Schürmann,KSC,21,20,9,23,22,,19
GER,8528,Andre Tirre,Frank Wille,YCS,24,13,24,21,14,,20
GER,8500,Jens Kühne,Arne Lanatowitz,OSG,22,22,10,22,19,,21
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,11,21,26,19,25,,22
GER,8530,Alexander von Mertens,Martin Maal,StSC,23,23,17,OCS,13,,23
GER,9021,Georg Geyer,Peter Wolffram,,17,25,20,20,20,,24
GER,8531,Anna Hauschild,Maxi Kempermann,SCS,18,24,23,17,23,,25
GER,8697,Wilfried Stuis,Thorge Holm,YCN,25,27,30,25,28,,26
GER,8505,Mario Tirre,Henry Stoffers,SCZ,OCS,30,28,24,24,,28
GER,9000,Enno Wilts,Katharina Menge,SVBB,28,28,27,26,27,,29
POL,7669,Piotr Żółtowski,Michał Olko,ZSK,26,26,29,DNC,DNC,,30
