Nation,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Pos
RSA,8340,Graeme Willcox,Alan Haylett,VLC,1,1,1,1,4,1st
RSA,7457,Phil Bennet,Mark Abbotts,VLC,6,2,2,5,15,2nd
RSA,8406,Rudolph Holm,Rick Shearar,PSC,3,5,7,2,17,3rd
RSA,8789,Tony Murray,K Holtzhausen,PSC,4,4,6,3,17,4th
RSA,8584,Hans Rogotski,Peter Roos,PSC,2,6,4,7,19,5th
RSA,8121,Albrecht Holm,Warwick Ham,PSC,7,3,5,4,19,6th
RSA,406*,Thomas Funke,Randolf Verheij,TYC,5,7,3,6,21,7th
RSA,7722,Robert Wegerif,,PSC,DNC,DNC,DNC,DNC,36,8th
