Naton,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,Boat Name,Pts,Pos
RSA,8121,A. Holm,W. Ham,PSC,1,1,1,1,7 DNF*,3,Laat Waai,7,1st
RSA,8406,R. Holm,R. Shearer,PSC,3*,2,3,2,1,1,No-name Brand,9,2nd
RSA,8789,T. Murray,Barry Owen,PSC,2,3,2,5,7 DNF*,2,Seven of Nine,14,3rd
RSA,8584,H. Rogotzki,P. Roos,PSC,5*,4,5,3,2,4,Flying Freddie,18,4th
RSA,8437,S. Hegerstrom,A. Ellens,HMYC,4,5,4,4,7 DNF*,7 DNF,Two Dogs Funking,24,5th
RSA,7722,K. Jamison,R. Wegerif,PSC,6,6,6,7 DNF*,3,7 DNS,Sensation,28,6th
