Nat,Sejlnr,Rorsmand,Gast - Navn,Sejlklub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Total,Nett,Rank
DEN,9062,Jørgen Bojsen Møller,Michael Wonterghem,Hellerup,(1.0),1,1,1,(3.0),1,1,1,1,1,12,8,1
DEN,8232,Jonas Christiansen,,Hellerup sejlklub,2,(3.0),2,(3.0),1,2,2,2,2,3,22,16,2
DEN,8440,Mads Christiansen,Lars Skall Sørensen,AS,(5.0),2,3,2,2,(4.0),4,3,3,2,30,21,3
DEN,8472,Rasmus Norre Andersen,Lars Henrik Norre Andersen,AAlborgsejlklub,3,(4.0),4,4,(5.0),3,3,4,4,4,38,29,4
DEN,9109,Hans Genefke,Finn Angelo,SAS,4,(6.0 DNC),5,5,4,(6.0 DNF),6.0 DNC,6.0 DNC,5,5,52,40,5
