Numer,Sternik,Załogant,Klub,1,2,3,4,5,suma,miejsce
POL 8451,Bartosz Makała,Łukasz Skrzycki,JK Krynica Morska,2*,1,1,1,2,5,1
POL 8416,Przemek Zagórski,Piotr Juckiewicz,YKP Gdynia,1,2*,2,2,1,6,2
POL 8129,Konrad Plewa,Jerzy Plewa,ZKŻ Zbąszyń,3,5*,3,3,4,13,3
POL 7942,Igor Graczyk,Maciej Graczyk,ZKŻ Zbąszyń,4,3,DNC*,5,6,18,4
POL 7012,Dariusz Rzadkowski,Krzysztof Rzadkowski,PSK505,5,4,4,DNC*,5,18,5
POL 7669,Antonina Żółtowska,Piotr Żółtowski,AZS Poznań SKŻ Sopot,DNC*,DNC,DNC,4,3,25,6
POL —-,Romuald Szukała,Bartosz Zimny,ZKŻ Zbąszyń,DNC*,DNC,DNC,DNC,7,34,7
POL 8005,Zbigniew Monkiewicz,Beata Małecka-Monkiewicz,PSK505,DNC*,DNC,DNC,DNC,8,35,8
