Sail Number,Team,,Boat Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,,T,N,Nr
SUI 9096,Cédric Bart,Laurent Grob,AXOU,2,1,1,1,3,2,(4),1,(14) OCS,SUI,29,11,1
SUI 9147,Caroline Jacot,Philippe Jacot,Bonnie & Clyde,(6),2,2,3,(14) OCS,4,1,2,1,SUI,35,15,2
SUI 9163,Florian Stauffer,Valery Jacot,,1,(4),3,2,1,(5),2,3,3,SUI,24,15,3
FRA 8847,Bastian le Morvan,Marie Novak,ZaZou,3,(6),5,(6),2,3,3,4,4,FRA,36,24,4
GER 9135,Jens Biederer,Hendrik Annighöfer,Schwertakrobaten,4,5,(6),4,5,(8),5,5,2,GER,44,30,5
FRA 8954,Muriel Agrapart,Franck Agrapart,Le Doschois,5,3,4,(8),7,1,(8),8,7,FRA,51,35,6
SUI 8961,Toni Utiger,Markus Heilig,noname,(9),(7),7,5,4,7,7,6,5,SUI,57,41,7
SUI 9060,Catherine Houriet,Gil Donzé,Patience,(10),8,8,7,(9),6,6,7,6,SUI,67,48,8
SUI 8544,Mathias Märki,Marcel Hediger,no limits,7,10,9,(11),6,9,10,(11),8,SUI,81,59,9
SUI 7812,Joel Märki,Tim Wassmer,Take it easy,(11),9,10,9,8,10,11,(12),9,SUI,89,66,10
SUI 9103,Andreas Rebsamen,Peter Schweizer,speed wind,8,(11),11,10,10,(12),9,9,11,SUI,91,68,11
GER 8712,Stefan Krumm,Uwe Krumm,Merlin,(12),12,(14) DNS,12,11,11,12,10,10,GER,104,78,12
