Nation,SailNo,Helm,Crew,Club,R1,R2,R3,R4,Total,Nett,Rank
FIN,8768,Jukka Nieminen,Antti Salonen,SP / HYP,2,1,1,5,9,9,1
FIN,8632,Jari Hamström,Tuomas Laurila,KuoPs / EMK,1,4,2,2,9,9,2
FIN,8585,Henri Räty,Juha Nurmela,N / V-71,6,5,3,1,15,15,3
FIN,8057,Kaj Lindfors,Johan Halonen,ASS,3,3,5,4,15,15,4
FIN,8678,Eino Laitinen,Kaarle Kauppinen,MSVK,7,2,4,6,19,19,5
FIN,8466,Hannu Pöyry,Juha Pietilä,VVK / OTPS,4,6,6,3,19,19,6
FIN,8873,Ari Peltoniemi,Tapani Elovirta,HSK,5,7,7,8,27,27,7
