Nation,Sail #,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Netto,Position
USA,8249,Ali Meller,,,1,1,1,1,1,3*,6.75,3.75,1
BER,8119,Chuck Millican,,,2*,2,2,2,2,1,10.75,8.75,2
BER,8368,Doug DeCouto,,,4*,3,3,3,3,2,18,14,3
BER,8255,James MacDonald,,,3,4*,4,4,4,4,23,19,4
