,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,Total,Nett,Rank
RSA,8445,Kyle Klaas,Robert von Gruenewaldt,PSC,2,2,2,(3),1,1,1,12,9,1
RSA,8481,Thomas Funke,Peter Funke,TYC,(3),1,1,1,2,2,2,12,9,2
RSA,8789,Jonathan Ham,Warwick Ham,PSC,4,3,3,(6),3,3,3,25,19,3
RSA,8471,Richard Hutton Squire,James Largier,TSC,1,4,4,2,(5),5,4,25,20,4
RSA,8121,Kobus Holtzhausen,Henko Holtshausen,BYC,5,(6),5,4,6,6,5,37,31,5
RSA,8520,Mark Biagio,Ferdinand Holm,PSC,6,5,(RET),5,4,4,DNS,40,32,6
RSA,6266,Andrew Arthur,Megan Eccleston,ESC,(DNC),DNC,DNC,DNC,DNC,DNC,DNC,56,48,7
